GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnMieteQM;AnzahlWohnungen;werterlaeuternde_Zeichen
CRS3035RES100mN3258000E4552900;4552950;3258050;401;8;NA
CRS3035RES100mN3258000E4553200;4553250;3258050;529;24;NA
CRS3035RES100mN3258000E4553300;4553350;3258050;787;11;NA
CRS3035RES100mN3258000E4553400;4553450;3258050;996;6;NA
CRS3035RES100mN3258000E4553800;4553850;3258050;662;4;NA
CRS3035RES100mN3258000E4569400;4569450;3258050;602;13;NA
CRS3035RES100mN3258000E4569500;4569550;3258050;876;41;NA
CRS3035RES100mN3258000E4569600;4569650;3258050;814;3;NA
CRS3035RES100mN3258100E4551900;4551950;3258150;848;10;NA
CRS3035RES100mN3258100E4552100;4552150;3258150;779;35;NA
CRS3035RES100mN3258100E4552200;4552250;3258150;705;32;NA
CRS3035RES100mN3258100E4552400;4552450;3258150;616;8;NA
CRS3035RES100mN3258100E4552500;4552550;3258150;1043;9;NA
CRS3035RES100mN3258100E4552600;4552650;3258150;801;4;NA
CRS3035RES100mN3258100E4552700;4552750;3258150;668;4;NA
CRS3035RES100mN3258100E4553000;4553050;3258150;746;4;NA
CRS3035RES100mN3258100E4553100;4553150;3258150;512;7;NA
CRS3035RES100mN3258100E4553200;4553250;3258150;529;33;NA
CRS3035RES100mN3258100E4553300;4553350;3258150;998;6;NA
CRS3035RES100mN3258100E4553400;4553450;3258150;949;4;NA
CRS3035RES100mN3258100E4553500;4553550;3258150;440;6;NA
CRS3035RES100mN3258100E4553600;4553650;3258150;929;6;NA
CRS3035RES100mN3258100E4553900;4553950;3258150;583;8;NA
CRS3035RES100mN3258100E4566800;4566850;3258150;877;4;NA
CRS3035RES100mN3258100E4569000;4569050;3258150;822;3;NA
CRS3035RES100mN3258100E4569100;4569150;3258150;1021;3;NA
CRS3035RES100mN3258100E4569200;4569250;3258150;712;11;NA
CRS3035RES100mN3258100E4569500;4569550;3258150;871;13;NA
CRS3035RES100mN3258100E4569600;4569650;3258150;832;4;NA
CRS3035RES100mN3258200E4551600;4551650;3258250;625;5;NA
CRS3035RES100mN3258200E4551700;4551750;3258250;845;31;NA
CRS3035RES100mN3258200E4551800;4551850;3258250;637;7;NA
CRS3035RES100mN3258200E4551900;4551950;3258250;902;13;NA
CRS3035RES100mN3258200E4552000;4552050;3258250;762;4;NA
CRS3035RES100mN3258200E4552100;4552150;3258250;842;71;NA
CRS3035RES100mN3258200E4552400;4552450;3258250;857;13;NA
CRS3035RES100mN3258200E4552500;4552550;3258250;675;9;NA
CRS3035RES100mN3258200E4552600;4552650;3258250;793;14;NA
CRS3035RES100mN3258200E4552700;4552750;3258250;767;9;NA
CRS3035RES100mN3258200E4553000;4553050;3258250;721;11;NA
CRS3035RES100mN3258200E4553100;4553150;3258250;657;54;NA
CRS3035RES100mN3258200E4553200;4553250;3258250;668;18;NA
CRS3035RES100mN3258200E4553500;4553550;3258250;847;10;NA
CRS3035RES100mN3258200E4553800;4553850;3258250;858;10;NA
CRS3035RES100mN3258200E4554000;4554050;3258250;1033;6;NA
CRS3035RES100mN3258200E4566800;4566850;3258250;772;6;NA
CRS3035RES100mN3258200E4566900;4566950;3258250;547;3;NA
CRS3035RES100mN3258200E4569100;4569150;3258250;1084;12;NA
CRS3035RES100mN3258200E4569400;4569450;3258250;656;4;NA
CRS3035RES100mN3258200E4569500;4569550;3258250;806;3;NA
CRS3035RES100mN3258300E4551700;4551750;3258350;892;13;NA
CRS3035RES100mN3258300E4551800;4551850;3258350;683;3;NA
CRS3035RES100mN3258300E4551900;4551950;3258350;789;7;NA
CRS3035RES100mN3258300E4552000;4552050;3258350;526;13;NA
CRS3035RES100mN3258300E4552100;4552150;3258350;779;76;NA
CRS3035RES100mN3258300E4552300;4552350;3258350;613;72;NA
CRS3035RES100mN3258300E4552400;4552450;3258350;1048;28;NA
CRS3035RES100mN3258300E4552600;4552650;3258350;802;6;NA
CRS3035RES100mN3258300E4552700;4552750;3258350;604;7;NA
CRS3035RES100mN3258300E4553100;4553150;3258350;671;28;NA
CRS3035RES100mN3258300E4553200;4553250;3258350;683;42;NA
CRS3035RES100mN3258300E4553300;4553350;3258350;975;9;NA
CRS3035RES100mN3258300E4553400;4553450;3258350;1150;3;NA
CRS3035RES100mN3258300E4553500;4553550;3258350;868;11;NA
CRS3035RES100mN3258300E4553700;4553750;3258350;758;4;NA
CRS3035RES100mN3258300E4553800;4553850;3258350;577;4;NA
CRS3035RES100mN3258300E4554000;4554050;3258350;627;3;NA
CRS3035RES100mN3258300E4554100;4554150;3258350;652;3;NA
CRS3035RES100mN3258300E4569000;4569050;3258350;790;3;NA
CRS3035RES100mN3258300E4569400;4569450;3258350;867;3;NA
CRS3035RES100mN3258400E4551600;4551650;3258450;814;4;NA
CRS3035RES100mN3258400E4551700;4551750;3258450;783;10;NA
CRS3035RES100mN3258400E4551800;4551850;3258450;825;7;NA
CRS3035RES100mN3258400E4551900;4551950;3258450;695;13;NA
CRS3035RES100mN3258400E4552000;4552050;3258450;723;37;NA
CRS3035RES100mN3258400E4552200;4552250;3258450;642;53;NA
CRS3035RES100mN3258400E4552300;4552350;3258450;709;49;NA
CRS3035RES100mN3258400E4552400;4552450;3258450;986;3;NA
CRS3035RES100mN3258400E4552500;4552550;3258450;499;4;NA
CRS3035RES100mN3258400E4552600;4552650;3258450;889;16;NA
CRS3035RES100mN3258400E4552700;4552750;3258450;768;26;NA
CRS3035RES100mN3258400E4552800;4552850;3258450;775;21;NA
CRS3035RES100mN3258400E4552900;4552950;3258450;643;13;NA
CRS3035RES100mN3258400E4553000;4553050;3258450;544;9;NA
CRS3035RES100mN3258400E4553100;4553150;3258450;798;16;NA
CRS3035RES100mN3258400E4553200;4553250;3258450;1357;3;NA
CRS3035RES100mN3258400E4553300;4553350;3258450;642;13;NA
CRS3035RES100mN3258400E4553400;4553450;3258450;952;3;NA
CRS3035RES100mN3258400E4553500;4553550;3258450;623;3;NA
CRS3035RES100mN3258400E4553600;4553650;3258450;719;3;NA
CRS3035RES100mN3258400E4553700;4553750;3258450;879;9;NA
CRS3035RES100mN3258400E4553900;4553950;3258450;965;13;NA
CRS3035RES100mN3258400E4569000;4569050;3258450;258;3;KLAMMERN
CRS3035RES100mN3258400E4569100;4569150;3258450;746;12;NA
CRS3035RES100mN3258400E4569400;4569450;3258450;915;6;NA
CRS3035RES100mN3258400E4569500;4569550;3258450;977;4;NA
CRS3035RES100mN3258500E4551700;4551750;3258550;800;6;NA
CRS3035RES100mN3258500E4551800;4551850;3258550;742;7;NA
CRS3035RES100mN3258500E4551900;4551950;3258550;823;13;NA
CRS3035RES100mN3258500E4552000;4552050;3258550;726;81;NA
CRS3035RES100mN3258500E4552300;4552350;3258550;577;61;NA
CRS3035RES100mN3258500E4552400;4552450;3258550;604;32;NA
CRS3035RES100mN3258500E4552500;4552550;3258550;785;61;NA
CRS3035RES100mN3258500E4552600;4552650;3258550;734;17;NA
CRS3035RES100mN3258500E4552700;4552750;3258550;707;9;NA
CRS3035RES100mN3258500E4552800;4552850;3258550;937;77;NA
CRS3035RES100mN3258500E4553000;4553050;3258550;796;4;NA
CRS3035RES100mN3258500E4553100;4553150;3258550;669;7;NA
CRS3035RES100mN3258500E4553200;4553250;3258550;820;8;NA
CRS3035RES100mN3258500E4553300;4553350;3258550;975;3;NA
CRS3035RES100mN3258500E4553500;4553550;3258550;825;7;NA
CRS3035RES100mN3258500E4553600;4553650;3258550;760;3;NA
CRS3035RES100mN3258500E4553700;4553750;3258550;476;5;NA
CRS3035RES100mN3258500E4553900;4553950;3258550;929;4;NA
CRS3035RES100mN3258500E4554000;4554050;3258550;807;3;NA
CRS3035RES100mN3258500E4554100;4554150;3258550;833;7;NA
CRS3035RES100mN3258500E4567300;4567350;3258550;977;3;NA
CRS3035RES100mN3258500E4567500;4567550;3258550;946;3;NA
CRS3035RES100mN3258500E4569100;4569150;3258550;723;3;NA
CRS3035RES100mN3258600E4551300;4551350;3258650;755;16;NA
CRS3035RES100mN3258600E4551600;4551650;3258650;680;10;NA
CRS3035RES100mN3258600E4551700;4551750;3258650;707;9;NA
CRS3035RES100mN3258600E4551800;4551850;3258650;806;20;NA
CRS3035RES100mN3258600E4551900;4551950;3258650;754;64;NA
CRS3035RES100mN3258600E4552000;4552050;3258650;558;8;NA
CRS3035RES100mN3258600E4552300;4552350;3258650;603;11;NA
CRS3035RES100mN3258600E4552400;4552450;3258650;623;3;NA
CRS3035RES100mN3258600E4552500;4552550;3258650;633;3;NA
CRS3035RES100mN3258600E4552600;4552650;3258650;828;3;NA
CRS3035RES100mN3258600E4552700;4552750;3258650;679;54;NA
CRS3035RES100mN3258600E4552800;4552850;3258650;733;25;NA
CRS3035RES100mN3258600E4552900;4552950;3258650;758;3;NA
CRS3035RES100mN3258600E4553000;4553050;3258650;679;11;NA
CRS3035RES100mN3258600E4553100;4553150;3258650;674;15;NA
