GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter3;a3bis5;a6bis9;a10bis15;a16bis18;a19bis24;a25bis39;a40bis59;a60bis66;a67bis74;a75undaelter
CRS3035RES100mN3257500E4553100;4553150;3257550;30;–;–;–;–;–;–;4;3;4;3;10
CRS3035RES100mN3257500E4553200;4553250;3257550;20;3;–;–;–;–;3;3;–;7;3;6
CRS3035RES100mN3257500E4553300;4553350;3257550;40;–;3;4;4;3;3;3;10;3;–;3
CRS3035RES100mN3257500E4553400;4553450;3257550;72;4;3;6;7;3;10;10;22;3;3;–
CRS3035RES100mN3257500E4553500;4553550;3257550;76;3;7;–;7;5;9;13;22;4;3;–
CRS3035RES100mN3257500E4569000;4569050;3257550;8;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4571800;4571850;3257550;8;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4551800;4551850;3257650;16;–;–;–;–;–;3;5;5;3;–;3
CRS3035RES100mN3257600E4551900;4551950;3257650;15;–;–;–;3;–;–;4;–;–;3;–
CRS3035RES100mN3257600E4552000;4552050;3257650;8;–;–;–;–;–;–;–;3;3;3;–
CRS3035RES100mN3257600E4552100;4552150;3257650;22;–;–;–;3;–;–;–;5;3;4;4
CRS3035RES100mN3257600E4552200;4552250;3257650;30;–;–;3;3;–;3;3;8;4;–;7
CRS3035RES100mN3257600E4552300;4552350;3257650;56;3;5;–;–;–;–;10;18;3;4;13
CRS3035RES100mN3257600E4552400;4552450;3257650;20;3;3;3;–;–;–;4;3;–;–;5
CRS3035RES100mN3257600E4552500;4552550;3257650;30;–;3;3;–;–;–;3;5;5;–;–
CRS3035RES100mN3257600E4552600;4552650;3257650;23;–;3;–;–;–;–;–;7;3;4;8
CRS3035RES100mN3257600E4552700;4552750;3257650;43;–;–;–;4;4;–;–;13;–;3;10
CRS3035RES100mN3257600E4552800;4552850;3257650;34;3;–;3;3;–;–;8;4;3;3;5
CRS3035RES100mN3257600E4552900;4552950;3257650;43;4;3;3;3;–;3;4;11;6;–;9
CRS3035RES100mN3257600E4553000;4553050;3257650;50;–;–;3;3;3;9;–;19;6;5;6
CRS3035RES100mN3257600E4553100;4553150;3257650;29;3;–;–;–;–;–;3;7;6;6;3
CRS3035RES100mN3257600E4553200;4553250;3257650;11;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4553400;4553450;3257650;218;24;15;12;23;6;24;78;29;5;3;3
CRS3035RES100mN3257600E4569000;4569050;3257650;10;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4534100;4534150;3257750;42;–;–;–;4;3;4;4;12;5;8;–
CRS3035RES100mN3257700E4551800;4551850;3257750;43;–;3;3;3;–;3;5;14;4;3;7
CRS3035RES100mN3257700E4551900;4551950;3257750;24;–;–;3;3;–;–;3;11;–;3;3
CRS3035RES100mN3257700E4552000;4552050;3257750;12;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552100;4552150;3257750;36;–;–;3;–;–;3;3;11;7;–;4
CRS3035RES100mN3257700E4552200;4552250;3257750;32;–;3;–;3;–;5;3;13;–;–;5
CRS3035RES100mN3257700E4552300;4552350;3257750;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552400;4552450;3257750;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552500;4552550;3257750;46;3;–;–;3;3;3;–;11;6;6;12
CRS3035RES100mN3257700E4552600;4552650;3257750;24;–;–;–;–;3;–;6;8;5;–;4
CRS3035RES100mN3257700E4552700;4552750;3257750;15;–;–;–;–;–;–;–;4;5;5;5
CRS3035RES100mN3257700E4552800;4552850;3257750;22;–;–;–;3;–;–;3;9;5;3;5
CRS3035RES100mN3257700E4552900;4552950;3257750;40;–;–;–;3;–;–;9;9;5;5;11
CRS3035RES100mN3257700E4553000;4553050;3257750;35;–;–;–;–;–;5;3;14;4;9;3
CRS3035RES100mN3257700E4553100;4553150;3257750;30;–;3;3;3;–;–;–;10;–;–;7
CRS3035RES100mN3257700E4569000;4569050;3257750;17;–;–;–;3;–;–;–;6;–;3;4
CRS3035RES100mN3257700E4569400;4569450;3257750;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4572400;4572450;3257750;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4534000;4534050;3257850;26;4;–;–;–;–;4;6;3;3;3;–
CRS3035RES100mN3257800E4551800;4551850;3257850;51;5;–;3;4;–;8;7;10;7;3;8
CRS3035RES100mN3257800E4551900;4551950;3257850;35;–;–;–;–;–;3;3;11;3;5;3
CRS3035RES100mN3257800E4552000;4552050;3257850;17;–;–;3;–;–;–;–;–;–;5;8
CRS3035RES100mN3257800E4552100;4552150;3257850;49;3;–;–;3;3;4;4;18;5;4;7
CRS3035RES100mN3257800E4552200;4552250;3257850;18;–;–;–;3;3;3;3;9;–;3;7
CRS3035RES100mN3257800E4552300;4552350;3257850;8;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552400;4552450;3257850;31;3;–;3;–;3;–;–;6;–;10;5
CRS3035RES100mN3257800E4552500;4552550;3257850;27;3;–;3;–;–;–;3;6;–;7;5
CRS3035RES100mN3257800E4552600;4552650;3257850;41;3;–;3;3;–;3;–;17;5;3;7
CRS3035RES100mN3257800E4552700;4552750;3257850;38;–;3;3;3;3;3;3;7;3;4;13
CRS3035RES100mN3257800E4552800;4552850;3257850;33;–;5;3;–;–;4;3;9;3;4;3
CRS3035RES100mN3257800E4552900;4552950;3257850;48;4;–;–;3;3;3;10;18;–;3;9
CRS3035RES100mN3257800E4553000;4553050;3257850;33;–;–;–;3;3;3;–;9;8;3;4
CRS3035RES100mN3257800E4553100;4553150;3257850;15;–;–;–;–;3;–;3;6;–;3;–
CRS3035RES100mN3257800E4553200;4553250;3257850;58;–;–;–;–;3;–;3;8;6;10;33
CRS3035RES100mN3257800E4553300;4553350;3257850;42;–;–;3;–;–;3;7;12;6;–;8
CRS3035RES100mN3257800E4553400;4553450;3257850;32;–;–;–;3;3;–;5;11;–;–;–
CRS3035RES100mN3257800E4553500;4553550;3257850;16;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4553600;4553650;3257850;36;–;–;–;–;–;5;20;6;–;–;4
CRS3035RES100mN3257800E4569000;4569050;3257850;43;4;3;–;6;–;4;3;12;3;–;–
CRS3035RES100mN3257800E4569300;4569350;3257850;19;–;–;–;–;–;–;–;4;4;–;3
CRS3035RES100mN3257800E4569400;4569450;3257850;42;3;3;–;–;3;3;9;13;8;–;8
CRS3035RES100mN3257800E4572500;4572550;3257850;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4533900;4533950;3257950;20;–;–;–;–;–;–;–;5;5;3;–
CRS3035RES100mN3257900E4534000;4534050;3257950;9;–;–;–;3;–;–;–;3;5;3;–
CRS3035RES100mN3257900E4551700;4551750;3257950;29;–;–;3;3;–;3;–;5;–;4;5
CRS3035RES100mN3257900E4551800;4551850;3257950;44;–;4;3;4;–;7;3;15;5;–;5
CRS3035RES100mN3257900E4551900;4551950;3257950;23;–;–;–;–;–;–;–;5;8;–;5
CRS3035RES100mN3257900E4552000;4552050;3257950;45;–;–;3;3;3;5;4;13;8;6;3
CRS3035RES100mN3257900E4552100;4552150;3257950;23;–;–;–;3;–;4;3;8;3;8;–
CRS3035RES100mN3257900E4552200;4552250;3257950;111;3;–;–;6;4;7;21;40;8;5;8
CRS3035RES100mN3257900E4552400;4552450;3257950;56;–;3;3;–;3;7;4;24;4;5;9
CRS3035RES100mN3257900E4552500;4552550;3257950;71;4;–;6;9;–;–;14;13;6;5;14
CRS3035RES100mN3257900E4552600;4552650;3257950;47;–;–;3;–;–;3;5;16;5;9;6
CRS3035RES100mN3257900E4552700;4552750;3257950;50;3;10;3;6;–;3;9;17;4;3;3
CRS3035RES100mN3257900E4552800;4552850;3257950;43;3;3;–;7;–;3;10;3;13;3;4
CRS3035RES100mN3257900E4552900;4552950;3257950;25;–;–;–;–;–;–;3;8;8;4;3
CRS3035RES100mN3257900E4553000;4553050;3257950;32;–;–;4;3;–;3;6;13;4;3;–
