GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter3;a3bis5;a6bis9;a10bis15;a16bis18;a19bis24;a25bis39;a40bis59;a60bis66;a67bis74;a75undaelter
CRS3035RES100mN3262500E4551900;4551950;3262550;106;4;4;5;5;3;5;22;28;8;8;14
CRS3035RES100mN3262500E4552000;4552050;3262550;66;–;3;4;3;–;–;12;15;4;10;12
CRS3035RES100mN3262500E4552100;4552150;3262550;42;–;–;–;–;–;–;11;13;5;7;3
CRS3035RES100mN3262500E4552200;4552250;3262550;41;3;–;5;–;3;–;3;12;7;3;7
CRS3035RES100mN3262500E4552300;4552350;3262550;52;3;3;5;5;4;6;6;18;–;3;3
CRS3035RES100mN3262500E4552400;4552450;3262550;48;–;3;–;3;–;3;7;10;3;11;3
CRS3035RES100mN3262500E4552500;4552550;3262550;26;3;–;–;3;–;–;3;7;3;–;5
CRS3035RES100mN3262500E4552600;4552650;3262550;47;–;–;–;–;–;3;4;12;11;10;9
CRS3035RES100mN3262500E4552700;4552750;3262550;57;–;–;–;3;–;6;5;21;10;8;9
CRS3035RES100mN3262500E4552800;4552850;3262550;41;3;–;3;3;–;–;4;9;4;5;9
CRS3035RES100mN3262500E4552900;4552950;3262550;25;–;–;–;4;–;3;–;12;–;–;8
CRS3035RES100mN3262500E4553000;4553050;3262550;47;–;3;3;6;–;–;6;14;3;10;5
CRS3035RES100mN3262500E4553100;4553150;3262550;136;–;3;4;9;–;–;23;43;15;14;21
CRS3035RES100mN3262500E4553300;4553350;3262550;19;–;3;3;–;–;–;–;4;–;–;4
CRS3035RES100mN3262500E4553400;4553450;3262550;36;–;–;–;–;–;–;6;9;–;5;12
CRS3035RES100mN3262500E4553500;4553550;3262550;108;–;4;–;4;–;3;15;22;8;8;44
CRS3035RES100mN3262500E4553600;4553650;3262550;48;3;–;–;–;–;–;5;13;3;9;13
CRS3035RES100mN3262500E4553700;4553750;3262550;50;–;3;–;–;–;3;7;9;3;5;21
CRS3035RES100mN3262500E4553800;4553850;3262550;29;–;–;3;4;–;3;4;12;4;3;3
CRS3035RES100mN3262500E4553900;4553950;3262550;49;3;–;4;4;–;–;3;12;3;10;11
CRS3035RES100mN3262500E4554000;4554050;3262550;39;3;3;–;–;–;3;6;10;3;5;6
CRS3035RES100mN3262500E4554100;4554150;3262550;105;3;4;–;5;11;10;15;24;5;8;21
CRS3035RES100mN3262500E4554200;4554250;3262550;127;6;–;–;3;–;8;26;17;12;19;34
CRS3035RES100mN3262500E4554300;4554350;3262550;75;–;3;–;3;–;3;10;15;13;8;16
CRS3035RES100mN3262500E4554400;4554450;3262550;9;–;–;3;–;–;3;–;5;3;–;–
CRS3035RES100mN3262500E4554500;4554550;3262550;25;–;–;3;–;–;5;4;3;3;3;4
CRS3035RES100mN3262500E4554600;4554650;3262550;33;3;3;6;–;–;–;7;8;3;3;–
CRS3035RES100mN3262500E4554700;4554750;3262550;80;–;–;4;7;3;4;13;24;9;5;11
CRS3035RES100mN3262500E4554800;4554850;3262550;11;–;–;–;–;–;3;–;5;–;–;–
CRS3035RES100mN3262500E4554900;4554950;3262550;36;–;–;–;–;–;3;8;8;3;6;14
CRS3035RES100mN3262500E4555000;4555050;3262550;49;3;–;4;–;–;3;4;11;3;5;16
CRS3035RES100mN3262500E4555100;4555150;3262550;37;3;–;–;–;7;4;4;9;4;3;7
CRS3035RES100mN3262500E4555200;4555250;3262550;13;–;–;3;–;–;3;–;6;–;–;–
CRS3035RES100mN3262500E4555400;4555450;3262550;51;3;–;–;–;–;–;8;21;3;3;3
CRS3035RES100mN3262500E4555500;4555550;3262550;56;4;3;4;3;–;4;13;23;–;3;3
CRS3035RES100mN3262500E4555600;4555650;3262550;122;3;–;6;9;4;10;23;43;14;3;3
CRS3035RES100mN3262500E4555700;4555750;3262550;61;–;–;3;9;4;5;11;18;5;4;7
CRS3035RES100mN3262500E4555800;4555850;3262550;44;–;3;–;5;3;3;10;15;4;–;3
CRS3035RES100mN3262500E4555900;4555950;3262550;14;–;3;–;–;–;3;3;3;–;–;–
CRS3035RES100mN3262500E4556000;4556050;3262550;16;4;–;–;–;–;3;3;3;3;–;3
CRS3035RES100mN3262500E4556400;4556450;3262550;218;9;8;9;7;–;10;54;47;17;22;33
CRS3035RES100mN3262500E4556500;4556550;3262550;464;21;14;19;22;6;29;104;108;37;41;61
CRS3035RES100mN3262500E4556600;4556650;3262550;130;9;7;11;14;4;8;27;25;7;6;7
CRS3035RES100mN3262500E4556700;4556750;3262550;143;3;4;–;4;–;5;20;32;9;16;46
CRS3035RES100mN3262500E4556800;4556850;3262550;196;3;5;14;18;5;9;35;52;15;9;28
CRS3035RES100mN3262500E4556900;4556950;3262550;296;18;14;20;16;16;24;71;69;15;12;16
CRS3035RES100mN3262500E4557200;4557250;3262550;278;8;10;12;13;16;18;44;74;17;16;49
CRS3035RES100mN3262500E4557300;4557350;3262550;188;9;3;5;12;4;15;26;43;24;18;31
CRS3035RES100mN3262500E4557400;4557450;3262550;143;5;9;8;13;7;3;20;36;6;19;23
CRS3035RES100mN3262500E4557500;4557550;3262550;604;31;31;48;51;22;51;135;135;43;25;32
CRS3035RES100mN3262500E4557600;4557650;3262550;669;33;23;31;39;23;45;158;187;55;29;46
CRS3035RES100mN3262500E4557700;4557750;3262550;4;–;–;–;–;–;–;4;–;–;3;–
CRS3035RES100mN3262500E4557800;4557850;3262550;27;–;–;–;–;–;–;–;12;3;–;6
CRS3035RES100mN3262500E4557900;4557950;3262550;40;–;3;–;–;3;–;9;15;–;3;10
CRS3035RES100mN3262500E4558000;4558050;3262550;42;–;–;3;5;–;3;4;9;7;–;13
CRS3035RES100mN3262500E4558100;4558150;3262550;195;6;3;3;15;6;14;40;57;15;14;19
CRS3035RES100mN3262500E4558200;4558250;3262550;27;3;–;–;–;3;4;8;10;3;–;3
CRS3035RES100mN3262500E4558300;4558350;3262550;90;3;3;5;3;–;3;23;15;3;12;19
CRS3035RES100mN3262500E4558400;4558450;3262550;58;3;4;3;3;3;–;14;14;3;5;5
CRS3035RES100mN3262500E4558500;4558550;3262550;51;–;–;3;8;–;4;10;14;11;–;–
CRS3035RES100mN3262500E4558600;4558650;3262550;51;–;–;4;3;3;–;19;15;3;3;9
CRS3035RES100mN3262500E4558700;4558750;3262550;38;–;–;–;–;–;4;5;10;3;7;10
CRS3035RES100mN3262500E4558800;4558850;3262550;171;6;–;–;8;3;5;35;34;16;19;37
CRS3035RES100mN3262500E4558900;4558950;3262550;72;–;3;–;–;–;–;15;22;9;3;19
CRS3035RES100mN3262500E4559000;4559050;3262550;38;–;–;–;3;–;–;14;7;4;3;5
CRS3035RES100mN3262500E4559100;4559150;3262550;40;–;–;–;–;–;3;10;12;–;10;7
CRS3035RES100mN3262500E4559500;4559550;3262550;75;–;–;7;7;3;5;7;17;16;12;–
CRS3035RES100mN3262500E4559600;4559650;3262550;52;–;–;–;–;–;4;3;19;6;11;3
CRS3035RES100mN3262500E4559700;4559750;3262550;35;3;–;–;3;–;–;7;7;–;8;5
CRS3035RES100mN3262500E4559800;4559850;3262550;35;–;–;–;–;–;–;8;10;–;7;–
CRS3035RES100mN3262500E4559900;4559950;3262550;32;3;–;3;3;–;4;–;11;5;6;4
CRS3035RES100mN3262500E4560100;4560150;3262550;45;3;–;3;7;–;4;7;13;3;3;4
CRS3035RES100mN3262500E4560200;4560250;3262550;49;–;–;3;5;–;3;6;16;6;7;8
CRS3035RES100mN3262500E4560300;4560350;3262550;35;–;–;–;3;–;–;6;12;4;7;–
CRS3035RES100mN3262500E4560700;4560750;3262550;20;–;–;–;3;–;3;–;8;3;–;4
CRS3035RES100mN3262500E4560800;4560850;3262550;27;–;–;–;3;–;–;–;10;4;5;4
CRS3035RES100mN3262500E4560900;4560950;3262550;17;–;–;3;–;–;–;–;4;–;6;4
CRS3035RES100mN3262500E4561000;4561050;3262550;85;–;–;–;4;3;4;18;32;8;6;10
CRS3035RES100mN3262500E4561100;4561150;3262550;94;–;5;3;3;3;9;15;30;7;12;10
CRS3035RES100mN3262500E4561200;4561250;3262550;18;–;–;–;–;–;–;–;5;5;3;–
CRS3035RES100mN3262500E4561400;4561450;3262550;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262500E4561500;4561550;3262550;41;6;6;8;3;–;3;12;7;–;–;4
CRS3035RES100mN3262500E4561600;4561650;3262550;11;–;–;–;–;–;3;–;4;–;4;–
CRS3035RES100mN3262500E4561700;4561750;3262550;81;6;4;–;3;5;16;18;17;8;7;8
CRS3035RES100mN3262500E4561800;4561850;3262550;57;–;4;3;4;–;3;20;14;4;–;4
CRS3035RES100mN3262500E4561900;4561950;3262550;90;10;11;4;5;3;3;38;11;3;3;–
CRS3035RES100mN3262500E4562000;4562050;3262550;32;–;–;–;–;3;–;8;10;5;–;5
CRS3035RES100mN3262500E4562100;4562150;3262550;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262500E4562200;4562250;3262550;7;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262500E4562400;4562450;3262550;17;3;–;3;–;–;–;4;–;3;–;3
CRS3035RES100mN3262500E4562500;4562550;3262550;27;–;–;–;3;–;3;3;7;3;–;7
CRS3035RES100mN3262500E4562600;4562650;3262550;15;–;–;–;–;–;–;–;4;–;3;–
CRS3035RES100mN3262500E4563900;4563950;3262550;7;–;–;–;4;–;–;–;5;–;–;–
CRS3035RES100mN3262500E4564000;4564050;3262550;22;3;–;–;–;–;–;4;7;4;–;3
CRS3035RES100mN3262500E4564100;4564150;3262550;22;–;–;3;3;–;–;3;8;3;–;–
CRS3035RES100mN3262500E4564300;4564350;3262550;25;7;–;–;–;–;–;12;–;3;–;3
CRS3035RES100mN3262500E4564400;4564450;3262550;92;5;4;3;5;–;6;22;20;9;–;20
CRS3035RES100mN3262500E4564500;4564550;3262550;76;3;3;4;3;–;3;14;26;8;8;9
CRS3035RES100mN3262500E4564900;4564950;3262550;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262500E4565000;4565050;3262550;46;3;–;4;–;3;4;13;11;5;–;5
CRS3035RES100mN3262500E4565100;4565150;3262550;39;–;3;3;3;–;3;9;10;3;–;7
CRS3035RES100mN3262500E4565200;4565250;3262550;13;3;–;–;–;–;–;4;3;–;–;–
CRS3035RES100mN3262500E4565300;4565350;3262550;40;–;5;3;5;–;3;4;16;4;3;–
CRS3035RES100mN3262500E4569100;4569150;3262550;14;–;–;–;–;3;–;–;4;3;–;–
CRS3035RES100mN3262500E4569500;4569550;3262550;3;–;–;–;3;–;–;–;3;–;–;–
CRS3035RES100mN3262500E4569700;4569750;3262550;24;3;3;–;5;3;4;4;7;–;–;3
CRS3035RES100mN3262500E4569800;4569850;3262550;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262500E4570200;4570250;3262550;19;–;–;–;–;–;–;4;8;–;3;3
CRS3035RES100mN3262500E4570300;4570350;3262550;17;–;–;–;–;–;–;–;8;3;–;–
CRS3035RES100mN3262500E4570400;4570450;3262550;32;3;–;–;3;–;3;7;11;3;3;5
CRS3035RES100mN3262500E4570900;4570950;3262550;14;–;–;–;–;–;–;3;3;3;3;3
CRS3035RES100mN3262500E4571000;4571050;3262550;33;6;–;3;–;–;–;7;11;3;4;–
CRS3035RES100mN3262500E4571100;4571150;3262550;5;–;–;3;–;–;–;3;–;3;–;–
CRS3035RES100mN3262600E4536000;4536050;3262650;66;–;–;5;5;4;3;5;31;3;5;5
CRS3035RES100mN3262600E4536100;4536150;3262650;53;–;–;–;5;–;–;3;11;6;8;15
CRS3035RES100mN3262600E4538100;4538150;3262650;15;–;–;–;–;–;–;6;5;–;5;3
CRS3035RES100mN3262600E4538200;4538250;3262650;40;–;–;–;–;–;6;8;9;11;3;3
CRS3035RES100mN3262600E4538300;4538350;3262650;29;3;–;–;3;–;3;3;3;9;5;4
CRS3035RES100mN3262600E4538400;4538450;3262650;29;–;–;–;6;4;3;–;11;–;3;3
CRS3035RES100mN3262600E4538600;4538650;3262650;12;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262600E4538700;4538750;3262650;42;3;3;–;–;3;–;–;14;–;4;12
CRS3035RES100mN3262600E4538800;4538850;3262650;19;–;–;3;–;–;–;–;9;6;–;4
CRS3035RES100mN3262600E4538900;4538950;3262650;24;–;–;–;–;3;3;–;11;3;4;–
CRS3035RES100mN3262600E4539000;4539050;3262650;29;–;–;–;3;3;3;–;6;3;3;10
CRS3035RES100mN3262600E4539100;4539150;3262650;32;–;–;–;4;5;–;3;7;3;3;4
CRS3035RES100mN3262600E4539200;4539250;3262650;15;–;–;–;–;–;–;3;–;3;–;7
CRS3035RES100mN3262600E4539300;4539350;3262650;13;–;–;3;4;–;–;–;7;–;3;3
CRS3035RES100mN3262600E4539400;4539450;3262650;32;3;4;–;5;3;–;4;8;3;–;8
CRS3035RES100mN3262600E4539500;4539550;3262650;46;–;3;7;3;–;3;3;20;5;3;–
CRS3035RES100mN3262600E4539600;4539650;3262650;12;–;–;–;–;–;–;–;7;–;–;–
CRS3035RES100mN3262600E4539700;4539750;3262650;30;–;–;3;3;–;3;13;4;4;–;9
CRS3035RES100mN3262600E4539800;4539850;3262650;52;–;–;–;–;3;4;7;19;4;3;7
CRS3035RES100mN3262600E4539900;4539950;3262650;44;–;–;–;7;3;6;6;12;3;4;11
CRS3035RES100mN3262600E4540000;4540050;3262650;38;–;3;5;3;–;3;7;9;4;4;3
CRS3035RES100mN3262600E4540100;4540150;3262650;6;–;–;–;–;–;8;–;–;–;–;–
CRS3035RES100mN3262600E4540200;4540250;3262650;37;–;–;–;5;3;3;3;5;3;8;10
CRS3035RES100mN3262600E4540300;4540350;3262650;79;–;3;4;15;7;11;4;22;3;6;–
CRS3035RES100mN3262600E4540400;4540450;3262650;8;–;–;–;–;–;–;3;4;3;3;–
CRS3035RES100mN3262600E4540500;4540550;3262650;31;3;–;–;–;–;3;4;5;4;3;11
CRS3035RES100mN3262600E4540600;4540650;3262650;22;–;–;–;3;3;–;3;7;3;3;7
CRS3035RES100mN3262600E4540700;4540750;3262650;29;–;–;–;3;3;–;3;4;–;7;4
CRS3035RES100mN3262600E4540800;4540850;3262650;20;–;–;–;–;–;3;3;3;3;3;5
CRS3035RES100mN3262600E4540900;4540950;3262650;22;–;–;–;3;–;4;–;4;3;–;4
CRS3035RES100mN3262600E4541300;4541350;3262650;17;–;–;–;–;–;–;–;3;6;4;9
CRS3035RES100mN3262600E4541400;4541450;3262650;13;–;–;–;–;–;–;–;3;4;–;–
CRS3035RES100mN3262600E4542100;4542150;3262650;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262600E4542200;4542250;3262650;55;–;–;–;3;3;5;–;27;9;3;6
CRS3035RES100mN3262600E4542300;4542350;3262650;74;–;–;–;6;–;6;8;22;8;3;15
CRS3035RES100mN3262600E4542400;4542450;3262650;10;–;–;–;–;–;3;–;–;3;–;–
CRS3035RES100mN3262600E4542500;4542550;3262650;17;–;–;–;3;–;–;–;6;3;3;3
CRS3035RES100mN3262600E4542600;4542650;3262650;86;3;3;3;4;3;10;20;22;4;7;6
CRS3035RES100mN3262600E4542700;4542750;3262650;46;–;–;–;–;–;–;7;7;12;4;9
CRS3035RES100mN3262600E4542800;4542850;3262650;64;3;7;7;–;3;3;8;19;3;4;6
CRS3035RES100mN3262600E4542900;4542950;3262650;35;–;–;4;6;4;–;–;19;3;–;3
CRS3035RES100mN3262600E4543000;4543050;3262650;26;–;–;–;3;3;–;3;6;3;3;3
CRS3035RES100mN3262600E4543100;4543150;3262650;26;–;–;3;5;–;–;3;8;3;–;8
CRS3035RES100mN3262600E4543200;4543250;3262650;44;3;–;3;3;–;3;4;16;3;3;9
CRS3035RES100mN3262600E4543300;4543350;3262650;26;–;3;3;–;–;4;3;8;3;3;3
CRS3035RES100mN3262600E4543400;4543450;3262650;37;–;3;3;3;3;3;–;12;–;–;7
CRS3035RES100mN3262600E4543500;4543550;3262650;42;–;3;–;6;3;–;4;12;–;–;10
CRS3035RES100mN3262600E4543600;4543650;3262650;33;3;–;–;3;–;3;3;12;–;3;10
CRS3035RES100mN3262600E4543700;4543750;3262650;34;–;3;–;–;–;–;–;9;–;6;8
CRS3035RES100mN3262600E4543800;4543850;3262650;66;3;3;3;4;–;7;11;14;5;5;11
CRS3035RES100mN3262600E4543900;4543950;3262650;31;3;3;–;4;–;–;10;9;3;–;5
CRS3035RES100mN3262600E4544000;4544050;3262650;16;–;–;–;–;–;3;3;–;–;5;6
CRS3035RES100mN3262600E4544100;4544150;3262650;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3262600E4544600;4544650;3262650;88;3;–;4;8;3;7;4;31;12;3;13
CRS3035RES100mN3262600E4544700;4544750;3262650;26;3;–;3;–;–;–;4;15;–;3;3
CRS3035RES100mN3262600E4544800;4544850;3262650;72;7;6;5;7;–;6;6;18;11;5;6
CRS3035RES100mN3262600E4544900;4544950;3262650;134;5;7;13;11;8;8;14;49;10;6;8
CRS3035RES100mN3262600E4545000;4545050;3262650;163;7;5;7;8;3;4;17;49;14;25;25
CRS3035RES100mN3262600E4545100;4545150;3262650;110;3;8;8;6;3;11;12;34;10;12;7
CRS3035RES100mN3262600E4545200;4545250;3262650;134;–;6;6;13;11;17;9;49;13;3;3
CRS3035RES100mN3262600E4545300;4545350;3262650;80;3;3;3;10;3;8;5;28;5;3;9
CRS3035RES100mN3262600E4545400;4545450;3262650;142;6;5;13;24;6;5;15;61;4;–;–
CRS3035RES100mN3262600E4545500;4545550;3262650;65;3;3;6;15;–;–;10;19;–;–;3
CRS3035RES100mN3262600E4545600;4545650;3262650;20;–;–;3;4;–;–;–;9;–;–;–
CRS3035RES100mN3262600E4545700;4545750;3262650;32;3;3;3;3;3;–;3;9;–;–;6
CRS3035RES100mN3262600E4545800;4545850;3262650;17;–;–;–;–;–;–;–;9;–;3;–
CRS3035RES100mN3262600E4546200;4546250;3262650;71;–;3;–;3;3;–;7;22;12;15;11
CRS3035RES100mN3262600E4546300;4546350;3262650;106;–;3;3;–;3;–;11;25;12;16;36
CRS3035RES100mN3262600E4546400;4546450;3262650;103;4;3;3;–;3;5;30;23;9;13;14
CRS3035RES100mN3262600E4546500;4546550;3262650;49;3;–;–;–;–;3;13;8;3;6;12
CRS3035RES100mN3262600E4546600;4546650;3262650;52;–;3;3;–;–;–;11;27;5;3;4
CRS3035RES100mN3262600E4546700;4546750;3262650;68;–;3;3;7;3;5;14;13;5;4;12
CRS3035RES100mN3262600E4546800;4546850;3262650;74;4;4;3;4;–;3;12;26;5;8;6
CRS3035RES100mN3262600E4546900;4546950;3262650;49;–;–;3;4;3;–;11;16;3;3;9
CRS3035RES100mN3262600E4547000;4547050;3262650;14;–;–;–;–;–;–;7;3;–;–;–
CRS3035RES100mN3262600E4547100;4547150;3262650;67;–;4;3;–;–;3;22;18;9;4;4
CRS3035RES100mN3262600E4547200;4547250;3262650;83;–;3;9;9;3;6;15;19;5;5;8
CRS3035RES100mN3262600E4547300;4547350;3262650;108;5;3;7;3;–;7;24;26;9;4;17
CRS3035RES100mN3262600E4547400;4547450;3262650;50;3;3;3;–;4;–;9;17;6;–;3
CRS3035RES100mN3262600E4547500;4547550;3262650;90;3;–;–;7;–;7;29;18;5;10;7
CRS3035RES100mN3262600E4547600;4547650;3262650;77;6;3;–;3;–;–;15;21;–;11;20
CRS3035RES100mN3262600E4547700;4547750;3262650;86;4;3;3;–;–;9;16;18;12;10;11
CRS3035RES100mN3262600E4547800;4547850;3262650;106;3;8;3;4;3;4;21;25;16;7;13
CRS3035RES100mN3262600E4547900;4547950;3262650;57;3;–;–;4;–;3;6;15;11;5;9
CRS3035RES100mN3262600E4548000;4548050;3262650;83;3;3;3;4;6;3;12;31;10;3;10
CRS3035RES100mN3262600E4548100;4548150;3262650;99;3;–;–;7;–;5;12;20;3;15;23
CRS3035RES100mN3262600E4548200;4548250;3262650;209;10;14;8;7;3;11;48;45;13;8;36
CRS3035RES100mN3262600E4548300;4548350;3262650;179;21;3;12;11;3;9;72;30;5;6;9
CRS3035RES100mN3262600E4548400;4548450;3262650;61;–;3;3;–;–;3;7;22;8;7;12
CRS3035RES100mN3262600E4548500;4548550;3262650;62;4;–;4;8;4;3;8;20;6;–;4
CRS3035RES100mN3262600E4548600;4548650;3262650;38;–;–;3;5;3;–;3;13;–;4;8
CRS3035RES100mN3262600E4548700;4548750;3262650;35;–;–;3;7;4;3;3;15;–;–;–
CRS3035RES100mN3262600E4548800;4548850;3262650;38;–;3;3;4;3;3;3;14;3;3;–
CRS3035RES100mN3262600E4549000;4549050;3262650;21;–;4;3;–;–;3;–;11;–;–;–
CRS3035RES100mN3262600E4549100;4549150;3262650;44;–;–;8;5;–;–;7;13;–;–;3
CRS3035RES100mN3262600E4549200;4549250;3262650;6;–;–;–;–;–;3;3;–;–;–;–
CRS3035RES100mN3262600E4549500;4549550;3262650;94;–;–;–;–;–;–;–;10;8;8;65
CRS3035RES100mN3262600E4549600;4549650;3262650;36;–;–;–;3;–;3;3;7;6;11;4
CRS3035RES100mN3262600E4549700;4549750;3262650;88;3;–;3;–;3;4;12;31;7;7;16
CRS3035RES100mN3262600E4549800;4549850;3262650;55;–;–;3;4;4;3;4;13;4;10;11
CRS3035RES100mN3262600E4549900;4549950;3262650;90;3;3;–;3;–;3;13;28;10;8;15
CRS3035RES100mN3262600E4550000;4550050;3262650;101;3;7;11;7;–;3;14;21;10;4;17
CRS3035RES100mN3262600E4550100;4550150;3262650;67;–;–;–;8;4;9;9;23;4;5;6
CRS3035RES100mN3262600E4550200;4550250;3262650;62;–;–;3;4;–;7;4;19;3;4;17
CRS3035RES100mN3262600E4550300;4550350;3262650;77;–;–;–;–;–;5;17;17;10;10;17
CRS3035RES100mN3262600E4550400;4550450;3262650;15;–;–;–;3;–;9;6;3;–;–;–
CRS3035RES100mN3262600E4551300;4551350;3262650;14;5;–;–;–;–;–;–;7;–;–;–
CRS3035RES100mN3262600E4551400;4551450;3262650;33;–;–;–;–;3;–;3;17;13;–;8
CRS3035RES100mN3262600E4551500;4551550;3262650;34;–;–;3;3;–;–;–;11;5;6;4
CRS3035RES100mN3262600E4551600;4551650;3262650;43;–;–;3;5;3;3;3;18;3;4;7
CRS3035RES100mN3262600E4551700;4551750;3262650;35;3;3;3;3;3;–;6;6;–;3;5
CRS3035RES100mN3262600E4551800;4551850;3262650;22;–;–;–;–;3;–;–;6;–;–;4
CRS3035RES100mN3262600E4551900;4551950;3262650;35;–;3;–;–;–;3;–;6;5;7;5
CRS3035RES100mN3262600E4552000;4552050;3262650;68;–;3;–;–;–;3;11;19;9;8;14
CRS3035RES100mN3262600E4552100;4552150;3262650;96;3;–;3;3;–;9;16;21;12;12;20
CRS3035RES100mN3262600E4552200;4552250;3262650;7;–;–;–;–;–;–;–;3;3;–;4
CRS3035RES100mN3262600E4552300;4552350;3262650;69;5;4;–;3;3;6;12;23;9;–;7
CRS3035RES100mN3262600E4552400;4552450;3262650;45;–;–;–;4;3;4;5;13;11;–;8
CRS3035RES100mN3262600E4552500;4552550;3262650;61;–;–;–;3;–;4;7;23;8;3;12
CRS3035RES100mN3262600E4552600;4552650;3262650;35;3;3;–;3;–;–;4;8;6;5;5
CRS3035RES100mN3262600E4552700;4552750;3262650;34;–;–;–;3;3;–;4;10;5;3;8
CRS3035RES100mN3262600E4552800;4552850;3262650;96;–;3;3;–;–;4;15;30;13;17;16
CRS3035RES100mN3262600E4552900;4552950;3262650;69;–;–;3;–;–;–;8;12;13;14;18
CRS3035RES100mN3262600E4553000;4553050;3262650;105;–;3;–;3;–;3;16;36;17;8;19
CRS3035RES100mN3262600E4553100;4553150;3262650;27;–;3;–;–;–;–;11;7;6;–;4
CRS3035RES100mN3262600E4553500;4553550;3262650;18;–;–;–;–;–;–;3;4;–;–;4
CRS3035RES100mN3262600E4553600;4553650;3262650;44;–;3;–;–;–;3;8;5;7;4;17
CRS3035RES100mN3262600E4553700;4553750;3262650;122;4;6;4;9;–;–;28;28;12;8;32
CRS3035RES100mN3262600E4553800;4553850;3262650;92;4;–;3;6;3;3;16;20;14;13;13
CRS3035RES100mN3262600E4553900;4553950;3262650;42;3;–;–;–;–;–;4;13;5;6;11
CRS3035RES100mN3262600E4554000;4554050;3262650;29;–;–;–;–;–;–;3;7;6;3;7
CRS3035RES100mN3262600E4554100;4554150;3262650;49;–;–;3;–;–;3;10;13;12;3;12
CRS3035RES100mN3262600E4554200;4554250;3262650;107;6;3;7;4;3;5;24;30;7;9;15
CRS3035RES100mN3262600E4554300;4554350;3262650;126;4;4;4;–;–;10;34;28;12;14;16
CRS3035RES100mN3262600E4554400;4554450;3262650;117;9;3;4;6;3;4;24;25;7;7;18
CRS3035RES100mN3262600E4554500;4554550;3262650;47;3;3;3;7;–;–;13;12;3;4;4
CRS3035RES100mN3262600E4554600;4554650;3262650;31;4;–;8;3;–;3;6;6;4;–;–
CRS3035RES100mN3262600E4554700;4554750;3262650;7;–;–;–;–;–;3;–;3;–;–;–
CRS3035RES100mN3262600E4554800;4554850;3262650;50;–;3;6;3;–;3;9;18;3;6;5
CRS3035RES100mN3262600E4554900;4554950;3262650;24;–;–;–;–;–;3;–;8;4;3;–
CRS3035RES100mN3262600E4555000;4555050;3262650;40;–;3;3;3;–;–;3;13;6;3;7
CRS3035RES100mN3262600E4555100;4555150;3262650;91;4;–;4;4;3;6;13;25;4;7;20
CRS3035RES100mN3262600E4555200;4555250;3262650;65;3;3;–;–;6;12;5;16;3;8;10
CRS3035RES100mN3262600E4555300;4555350;3262650;26;–;–;–;3;3;–;–;11;–;–;8
CRS3035RES100mN3262600E4555400;4555450;3262650;76;3;3;–;6;5;8;12;21;8;3;8
CRS3035RES100mN3262600E4555500;4555550;3262650;70;–;4;9;–;–;3;12;26;8;5;4
CRS3035RES100mN3262600E4555600;4555650;3262650;66;–;3;4;4;–;4;3;31;3;3;3
CRS3035RES100mN3262600E4555700;4555750;3262650;45;–;–;–;4;–;7;6;14;3;4;6
CRS3035RES100mN3262600E4555800;4555850;3262650;40;–;3;–;4;3;3;–;12;–;9;6
CRS3035RES100mN3262600E4555900;4555950;3262650;18;–;–;3;3;–;6;5;5;3;3;–
CRS3035RES100mN3262600E4556000;4556050;3262650;44;3;–;–;–;–;3;8;9;4;5;5
CRS3035RES100mN3262600E4556100;4556150;3262650;90;–;–;4;–;–;7;13;20;6;14;18
CRS3035RES100mN3262600E4556200;4556250;3262650;216;4;5;5;7;7;17;35;56;15;29;35
CRS3035RES100mN3262600E4556300;4556350;3262650;344;6;5;15;29;13;28;65;84;24;29;40
CRS3035RES100mN3262600E4556400;4556450;3262650;55;3;–;3;8;3;3;11;16;3;–;3
CRS3035RES100mN3262600E4556500;4556550;3262650;334;14;9;17;26;14;14;71;77;27;32;36
CRS3035RES100mN3262600E4556600;4556650;3262650;80;4;–;6;3;–;3;16;17;4;12;14
CRS3035RES100mN3262600E4556700;4556750;3262650;80;–;3;4;–;5;3;14;16;8;13;10
CRS3035RES100mN3262600E4556800;4556850;3262650;120;–;–;–;9;3;6;34;32;12;7;9
CRS3035RES100mN3262600E4556900;4556950;3262650;402;11;20;22;16;12;20;92;105;24;27;41
CRS3035RES100mN3262600E4557200;4557250;3262650;739;17;29;30;55;20;52;121;218;77;57;67
CRS3035RES100mN3262600E4557300;4557350;3262650;238;9;16;20;11;3;18;45;54;13;17;28
CRS3035RES100mN3262600E4557400;4557450;3262650;329;11;16;21;20;18;31;54;79;34;22;28
CRS3035RES100mN3262600E4557600;4557650;3262650;308;8;9;17;33;9;22;54;84;27;17;21
