GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Familie;Ehep_ohneKind;Ehep_mind_1Kind_unter18;Ehep_Kinder_ab18;EingetrLP_ohneKind;EingetrLP_mind_1Kind_unter18;EingetrLP_Kinder_ab18;NichtehelLG_ohneKind;NichtehelLG_mind_1Kind_unter18;NichtehelLG_Kinder_ab18;Vater_mind_1Kind_unter18;Vater_Kinder_ab18;Mutter_mind_1Kind_unter18;Mutter_Kinder_ab18
CRS3035RES100mN3257500E4553300;4553350;3257550;6;–;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4553400;4553450;3257550;20;–;4;–;–;–;–;–;–;–;–;–;8;–
CRS3035RES100mN3257500E4553500;4553550;3257550;21;–;–;–;–;–;–;–;6;–;3;–;8;3
CRS3035RES100mN3257500E4569000;4569050;3257550;4;3;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4551800;4551850;3257650;4;3;4;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4551900;4551950;3257650;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552000;4552050;3257650;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552100;4552150;3257650;8;6;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552200;4552250;3257650;7;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552300;4552350;3257650;8;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552400;4552450;3257650;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552500;4552550;3257650;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552600;4552650;3257650;6;–;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257600E4552700;4552750;3257650;13;6;3;3;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3257600E4552800;4552850;3257650;11;4;5;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3257600E4552900;4552950;3257650;14;3;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4553000;4553050;3257650;13;4;–;8;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3257600E4553100;4553150;3257650;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4553200;4553250;3257650;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4569000;4569050;3257650;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4534100;4534150;3257750;13;3;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4551800;4551850;3257750;14;9;4;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3257700E4551900;4551950;3257750;6;4;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552000;4552050;3257750;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552100;4552150;3257750;16;6;–;3;–;–;–;3;–;–;3;–;–;–
CRS3035RES100mN3257700E4552200;4552250;3257750;11;3;4;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552500;4552550;3257750;16;6;4;3;–;–;–;–;3;–;–;–;–;3
CRS3035RES100mN3257700E4552600;4552650;3257750;5;–;–;4;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257700E4552700;4552750;3257750;5;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4552800;4552850;3257750;7;3;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3257700E4552900;4552950;3257750;11;5;4;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3257700E4553000;4553050;3257750;9;9;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4553100;4553150;3257750;9;3;3;–;–;–;–;3;3;–;–;–;–;–
CRS3035RES100mN3257700E4569000;4569050;3257750;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257700E4572400;4572450;3257750;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4534000;4534050;3257850;9;–;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3257800E4551800;4551850;3257850;12;4;9;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3257800E4551900;4551950;3257850;10;4;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552000;4552050;3257850;6;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552100;4552150;3257850;10;10;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552200;4552250;3257850;6;6;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552400;4552450;3257850;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552500;4552550;3257850;8;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552600;4552650;3257850;12;4;4;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257800E4552700;4552750;3257850;10;8;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552800;4552850;3257850;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4552900;4552950;3257850;14;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4553000;4553050;3257850;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4553100;4553150;3257850;3;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4553200;4553250;3257850;4;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4553300;4553350;3257850;11;9;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4553400;4553450;3257850;7;–;–;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3257800E4553500;4553550;3257850;3;–;3;–;–;–;–;–;–;–;–;–;–;–
