GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Familie;Ehep_ohneKind;Ehep_mind_1Kind_unter18;Ehep_Kinder_ab18;EingetrLP_ohneKind;EingetrLP_mind_1Kind_unter18;EingetrLP_Kinder_ab18;NichtehelLG_ohneKind;NichtehelLG_mind_1Kind_unter18;NichtehelLG_Kinder_ab18;Vater_mind_1Kind_unter18;Vater_Kinder_ab18;Mutter_mind_1Kind_unter18;Mutter_Kinder_ab18
CRS3035RES100mN3264300E4542600;4542650;3264350;8;3;3;–;–;–;–;–;–;–;–;5;–;–
CRS3035RES100mN3264300E4542700;4542750;3264350;10;3;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4542800;4542850;3264350;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4542900;4542950;3264350;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4543000;4543050;3264350;14;5;3;3;–;–;–;–;3;–;–;–;3;3
CRS3035RES100mN3264300E4543100;4543150;3264350;5;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4543200;4543250;3264350;11;9;–;5;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4543300;4543350;3264350;5;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4543400;4543450;3264350;6;5;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4543700;4543750;3264350;7;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4543800;4543850;3264350;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4543900;4543950;3264350;13;4;4;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4544000;4544050;3264350;8;5;5;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4544100;4544150;3264350;5;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4544500;4544550;3264350;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4544600;4544650;3264350;22;7;9;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4544700;4544750;3264350;10;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4544800;4544850;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4544900;4544950;3264350;19;4;6;–;–;–;–;3;–;–;3;–;3;3
CRS3035RES100mN3264300E4545000;4545050;3264350;16;4;3;4;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4545100;4545150;3264350;20;10;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4545200;4545250;3264350;15;5;7;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4545300;4545350;3264350;12;6;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4545400;4545450;3264350;17;4;4;–;–;–;–;–;4;–;–;–;3;–
CRS3035RES100mN3264300E4545500;4545550;3264350;9;4;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4545600;4545650;3264350;27;10;8;–;–;–;–;7;–;–;–;–;3;3
CRS3035RES100mN3264300E4545700;4545750;3264350;13;7;–;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4545800;4545850;3264350;11;–;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4545900;4545950;3264350;10;3;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4546000;4546050;3264350;21;10;8;–;–;–;–;–;–;–;3;–;–;–
CRS3035RES100mN3264300E4546100;4546150;3264350;18;4;3;–;–;–;–;–;3;–;–;3;–;5
CRS3035RES100mN3264300E4546200;4546250;3264350;4;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4546300;4546350;3264350;31;5;11;3;–;–;–;4;–;–;3;–;3;–
CRS3035RES100mN3264300E4546400;4546450;3264350;31;10;9;3;–;–;–;9;–;–;–;–;3;3
CRS3035RES100mN3264300E4546500;4546550;3264350;8;3;4;4;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4547400;4547450;3264350;12;3;4;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3264300E4547500;4547550;3264350;28;7;10;3;–;–;–;–;3;–;–;3;–;3
CRS3035RES100mN3264300E4547600;4547650;3264350;6;3;3;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4547700;4547750;3264350;13;4;–;–;–;–;–;–;4;–;–;3;–;–
CRS3035RES100mN3264300E4547800;4547850;3264350;27;11;12;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4547900;4547950;3264350;4;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4548000;4548050;3264350;6;4;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4548100;4548150;3264350;38;15;9;4;–;–;–;6;–;–;–;–;4;4
CRS3035RES100mN3264300E4548200;4548250;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4548500;4548550;3264350;18;4;–;–;–;–;–;3;3;–;–;–;5;3
CRS3035RES100mN3264300E4548700;4548750;3264350;17;12;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4548800;4548850;3264350;40;16;7;7;–;–;–;3;4;–;–;–;5;–
CRS3035RES100mN3264300E4548900;4548950;3264350;12;3;4;–;–;–;–;–;3;–;–;3;3;–
CRS3035RES100mN3264300E4549400;4549450;3264350;13;6;–;4;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3264300E4549500;4549550;3264350;12;3;4;–;–;–;–;–;–;–;–;3;–;3
CRS3035RES100mN3264300E4549600;4549650;3264350;14;4;3;3;–;–;–;–;3;–;–;–;–;3
CRS3035RES100mN3264300E4550800;4550850;3264350;14;–;3;–;–;–;–;4;3;–;–;–;–;–
CRS3035RES100mN3264300E4550900;4550950;3264350;43;23;5;–;–;–;–;3;5;–;3;–;5;–
CRS3035RES100mN3264300E4551000;4551050;3264350;23;11;7;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4551100;4551150;3264350;20;7;8;–;3;–;–;3;–;–;–;–;3;–
CRS3035RES100mN3264300E4551200;4551250;3264350;5;3;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4551300;4551350;3264350;14;3;5;–;–;–;–;3;–;–;3;–;3;–
CRS3035RES100mN3264300E4551400;4551450;3264350;15;8;4;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4551500;4551550;3264350;15;3;4;–;–;–;–;–;5;–;–;–;3;3
CRS3035RES100mN3264300E4551600;4551650;3264350;60;9;21;12;–;–;–;–;–;–;–;–;16;–
CRS3035RES100mN3264300E4551900;4551950;3264350;18;4;9;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3264300E4552000;4552050;3264350;6;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4552100;4552150;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4552200;4552250;3264350;36;5;7;5;–;–;–;–;3;–;–;–;3;8
CRS3035RES100mN3264300E4552300;4552350;3264350;19;4;11;3;–;–;–;–;–;–;–;–;5;–
CRS3035RES100mN3264300E4552400;4552450;3264350;6;–;–;–;3;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4552800;4552850;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4552900;4552950;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4553000;4553050;3264350;8;4;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4553100;4553150;3264350;5;–;–;4;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4553200;4553250;3264350;6;–;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4553500;4553550;3264350;18;4;7;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4554100;4554150;3264350;10;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4554200;4554250;3264350;24;8;3;3;–;–;–;3;–;–;3;–;3;–
CRS3035RES100mN3264300E4554300;4554350;3264350;15;3;4;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4554400;4554450;3264350;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4554500;4554550;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4554800;4554850;3264350;15;3;3;–;–;–;–;3;3;–;–;–;–;3
CRS3035RES100mN3264300E4554900;4554950;3264350;48;11;15;5;–;–;–;3;3;–;–;–;6;–
CRS3035RES100mN3264300E4555000;4555050;3264350;25;11;5;3;–;–;–;3;–;–;–;–;3;3
CRS3035RES100mN3264300E4555100;4555150;3264350;12;3;3;–;–;–;–;–;–;–;3;–;–;4
CRS3035RES100mN3264300E4555200;4555250;3264350;22;5;5;–;–;–;–;3;–;–;–;3;–;3
CRS3035RES100mN3264300E4555300;4555350;3264350;11;7;–;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4555400;4555450;3264350;20;9;5;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4555500;4555550;3264350;13;10;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4555600;4555650;3264350;21;9;3;3;–;–;–;3;–;–;–;–;–;3
CRS3035RES100mN3264300E4555700;4555750;3264350;15;8;–;3;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4555800;4555850;3264350;12;3;4;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4555900;4555950;3264350;31;13;4;3;–;–;–;3;4;–;3;–;5;3
CRS3035RES100mN3264300E4556300;4556350;3264350;7;3;3;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4556400;4556450;3264350;15;5;–;–;–;–;–;–;–;–;3;–;5;–
CRS3035RES100mN3264300E4556500;4556550;3264350;10;3;3;4;–;3;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4556600;4556650;3264350;4;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4556700;4556750;3264350;8;5;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4556800;4556850;3264350;8;4;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4556900;4556950;3264350;8;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4557000;4557050;3264350;17;5;5;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4557100;4557150;3264350;12;3;3;8;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4557200;4557250;3264350;14;4;5;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4557300;4557350;3264350;8;4;3;3;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4557400;4557450;3264350;16;4;6;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4557500;4557550;3264350;12;3;5;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4557600;4557650;3264350;14;5;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4557700;4557750;3264350;8;5;–;3;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4557800;4557850;3264350;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4557900;4557950;3264350;16;7;5;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4558000;4558050;3264350;16;3;5;3;–;3;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4558100;4558150;3264350;4;3;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4558500;4558550;3264350;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4558600;4558650;3264350;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4558700;4558750;3264350;18;4;–;–;–;–;–;–;4;–;3;–;–;3
CRS3035RES100mN3264300E4558800;4558850;3264350;37;24;–;–;–;–;–;3;3;–;–;–;8;3
CRS3035RES100mN3264300E4558900;4558950;3264350;41;20;3;–;–;–;–;5;–;–;–;–;3;3
CRS3035RES100mN3264300E4559000;4559050;3264350;29;22;–;–;–;–;–;–;3;–;–;3;3;3
CRS3035RES100mN3264300E4559100;4559150;3264350;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4559200;4559250;3264350;50;17;3;5;–;–;–;9;3;–;3;–;8;5
CRS3035RES100mN3264300E4559300;4559350;3264350;23;8;–;–;–;–;–;–;3;–;–;–;4;3
CRS3035RES100mN3264300E4559500;4559550;3264350;9;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4559600;4559650;3264350;10;5;3;3;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3264300E4559700;4559750;3264350;15;5;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4559800;4559850;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4560600;4560650;3264350;17;7;–;–;–;–;–;3;3;–;–;–;3;–
CRS3035RES100mN3264300E4560700;4560750;3264350;44;20;13;–;–;–;–;7;3;–;–;–;–;–
CRS3035RES100mN3264300E4560800;4560850;3264350;40;4;17;–;–;–;–;3;4;–;–;–;5;3
CRS3035RES100mN3264300E4560900;4560950;3264350;33;9;9;–;–;–;–;7;3;–;–;–;6;3
CRS3035RES100mN3264300E4561600;4561650;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4561700;4561750;3264350;20;4;4;–;–;–;–;4;–;–;–;–;3;3
CRS3035RES100mN3264300E4561800;4561850;3264350;37;8;10;–;–;–;–;4;3;–;3;3;6;3
CRS3035RES100mN3264300E4561900;4561950;3264350;13;5;3;–;–;–;–;3;3;–;3;–;–;–
CRS3035RES100mN3264300E4562000;4562050;3264350;35;3;9;3;–;–;–;7;5;–;–;–;8;3
CRS3035RES100mN3264300E4562100;4562150;3264350;26;12;7;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4562200;4562250;3264350;24;4;–;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3264300E4562300;4562350;3264350;23;6;4;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4562400;4562450;3264350;12;3;3;–;–;–;–;–;–;3;–;–;8;–
CRS3035RES100mN3264300E4562500;4562550;3264350;33;9;11;3;–;–;–;3;–;–;3;–;3;–
CRS3035RES100mN3264300E4562600;4562650;3264350;18;4;3;–;–;–;–;4;3;–;–;3;4;–
CRS3035RES100mN3264300E4562700;4562750;3264350;28;10;11;–;–;–;–;–;–;–;–;–;4;–
CRS3035RES100mN3264300E4562800;4562850;3264350;19;3;3;–;–;–;–;–;5;–;–;–;5;–
CRS3035RES100mN3264300E4562900;4562950;3264350;13;3;–;3;–;–;–;–;–;3;–;3;3;–
CRS3035RES100mN3264300E4563800;4563850;3264350;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4564100;4564150;3264350;18;13;4;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4564200;4564250;3264350;14;9;4;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4564300;4564350;3264350;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4564400;4564450;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4564500;4564550;3264350;12;7;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4564600;4564650;3264350;7;3;3;–;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3264300E4564700;4564750;3264350;16;6;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264300E4564800;4564850;3264350;18;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4564900;4564950;3264350;10;6;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4565000;4565050;3264350;12;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4565100;4565150;3264350;7;4;–;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4565200;4565250;3264350;14;11;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4565300;4565350;3264350;6;4;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4565400;4565450;3264350;8;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4565500;4565550;3264350;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4570900;4570950;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4571700;4571750;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4571800;4571850;3264350;10;4;3;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264300E4571900;4571950;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4572200;4572250;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4572300;4572350;3264350;5;–;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4572700;4572750;3264350;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4572800;4572850;3264350;5;–;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4572900;4572950;3264350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4573300;4573350;3264350;6;3;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264300E4573400;4573450;3264350;4;4;–;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264300E4573500;4573550;3264350;4;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4573800;4573850;3264350;10;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264300E4573900;4573950;3264350;5;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4532800;4532850;3264450;34;3;13;3;–;–;–;–;7;–;–;–;7;–
CRS3035RES100mN3264400E4533600;4533650;3264450;14;5;–;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264400E4533700;4533750;3264450;22;13;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4533800;4533850;3264450;12;7;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264400E4534200;4534250;3264450;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4534300;4534350;3264450;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4534400;4534450;3264450;11;–;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4534500;4534550;3264450;5;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4534600;4534650;3264450;4;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4536300;4536350;3264450;3;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4536400;4536450;3264450;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4540500;4540550;3264450;11;3;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4540600;4540650;3264450;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4540700;4540750;3264450;6;4;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4540800;4540850;3264450;11;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4540900;4540950;3264450;10;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4541300;4541350;3264450;19;6;–;–;–;–;–;–;5;–;–;–;6;3
CRS3035RES100mN3264400E4541400;4541450;3264450;10;3;–;–;–;–;–;–;–;–;–;–;3;4
CRS3035RES100mN3264400E4541500;4541550;3264450;3;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4541600;4541650;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4542100;4542150;3264450;13;3;–;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3264400E4542200;4542250;3264450;13;5;5;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264400E4542300;4542350;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4542500;4542550;3264450;15;6;3;3;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264400E4542600;4542650;3264450;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4542700;4542750;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4542800;4542850;3264450;7;–;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4542900;4542950;3264450;8;3;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543000;4543050;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543100;4543150;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543200;4543250;3264450;7;4;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543500;4543550;3264450;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543600;4543650;3264450;10;4;4;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543700;4543750;3264450;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4543800;4543850;3264450;12;3;4;3;–;–;–;–;3;–;–;–;–;3
CRS3035RES100mN3264400E4543900;4543950;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4544000;4544050;3264450;14;5;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4544100;4544150;3264450;10;–;3;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264400E4544300;4544350;3264450;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4544400;4544450;3264450;8;3;3;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264400E4544500;4544550;3264450;19;3;3;6;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264400E4544600;4544650;3264450;9;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4544700;4544750;3264450;16;8;10;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4544800;4544850;3264450;15;6;–;3;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264400E4544900;4544950;3264450;14;8;4;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264400E4545000;4545050;3264450;4;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4545100;4545150;3264450;28;12;7;–;–;–;–;6;–;–;–;–;–;–
CRS3035RES100mN3264400E4545200;4545250;3264450;31;15;6;–;–;–;–;3;–;–;3;–;–;4
CRS3035RES100mN3264400E4545300;4545350;3264450;9;6;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264400E4545400;4545450;3264450;13;3;3;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3264400E4545500;4545550;3264450;10;4;3;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264400E4545800;4545850;3264450;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4545900;4545950;3264450;13;8;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4546000;4546050;3264450;5;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4546100;4546150;3264450;22;10;4;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3264400E4546200;4546250;3264450;29;12;4;5;–;–;–;4;–;–;3;–;3;–
CRS3035RES100mN3264400E4546300;4546350;3264450;15;4;3;–;–;–;–;4;–;–;–;–;5;–
CRS3035RES100mN3264400E4546400;4546450;3264450;17;4;5;–;–;–;–;4;–;–;–;–;–;3
CRS3035RES100mN3264400E4546500;4546550;3264450;11;4;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4546600;4546650;3264450;11;4;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4547300;4547350;3264450;39;11;9;3;–;–;–;3;4;–;–;–;7;4
CRS3035RES100mN3264400E4547400;4547450;3264450;52;16;9;6;–;–;–;7;3;–;–;–;7;3
CRS3035RES100mN3264400E4547600;4547650;3264450;19;8;3;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3264400E4547700;4547750;3264450;27;14;7;–;–;–;–;–;–;–;3;–;–;–
CRS3035RES100mN3264400E4547800;4547850;3264450;10;7;4;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4547900;4547950;3264450;20;11;3;3;–;–;–;–;–;–;3;–;–;–
CRS3035RES100mN3264400E4548000;4548050;3264450;10;4;3;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264400E4548100;4548150;3264450;25;5;11;–;–;–;–;3;3;–;–;–;3;3
CRS3035RES100mN3264400E4548200;4548250;3264450;17;3;10;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264400E4548300;4548350;3264450;5;–;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4548600;4548650;3264450;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4548700;4548750;3264450;18;5;9;–;–;–;–;3;–;–;3;–;–;–
CRS3035RES100mN3264400E4548800;4548850;3264450;24;7;3;3;–;–;–;3;3;–;–;3;3;–
CRS3035RES100mN3264400E4548900;4548950;3264450;13;3;4;–;–;–;–;3;–;–;–;–;3;–
CRS3035RES100mN3264400E4549400;4549450;3264450;17;11;3;5;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4549500;4549550;3264450;5;–;3;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3264400E4550700;4550750;3264450;7;–;–;–;–;–;–;3;–;–;–;–;–;3
CRS3035RES100mN3264400E4550800;4550850;3264450;35;19;5;3;–;–;–;–;3;–;–;–;–;3
CRS3035RES100mN3264400E4550900;4550950;3264450;9;3;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3264400E4551000;4551050;3264450;9;3;–;–;–;–;–;–;–;–;3;–;–;–
CRS3035RES100mN3264400E4551100;4551150;3264450;11;7;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3264400E4551300;4551350;3264450;5;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4551400;4551450;3264450;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3264400E4551500;4551550;3264450;14;–;8;–;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3264400E4551600;4551650;3264450;14;6;5;3;–;–;–;–;–;–;–;–;3;–
