GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnFlaechejeBew;werterlaeuternde_Zeichen
CRS3035RES100mN3257800E4552500;4552550;3257850;6697;NA
CRS3035RES100mN3257800E4552600;4552650;3257850;5917;NA
CRS3035RES100mN3257800E4552700;4552750;3257850;5154;NA
CRS3035RES100mN3257800E4552800;4552850;3257850;6649;NA
CRS3035RES100mN3257800E4552900;4552950;3257850;5885;NA
CRS3035RES100mN3257800E4553000;4553050;3257850;6373;NA
CRS3035RES100mN3257800E4553100;4553150;3257850;7617;NA
CRS3035RES100mN3257800E4553200;4553250;3257850;4190;NA
CRS3035RES100mN3257800E4553300;4553350;3257850;5502;NA
CRS3035RES100mN3257800E4553400;4553450;3257850;6279;NA
CRS3035RES100mN3257800E4553500;4553550;3257850;7756;NA
CRS3035RES100mN3257800E4553600;4553650;3257850;7529;NA
CRS3035RES100mN3257800E4569000;4569050;3257850;5149;NA
CRS3035RES100mN3257800E4569300;4569350;3257850;6830;NA
CRS3035RES100mN3257800E4569400;4569450;3257850;6968;NA
CRS3035RES100mN3257800E4572500;4572550;3257850;12151;NA
CRS3035RES100mN3257900E4533900;4533950;3257950;6432;NA
CRS3035RES100mN3257900E4534000;4534050;3257950;10707;NA
CRS3035RES100mN3257900E4551700;4551750;3257950;8354;NA
CRS3035RES100mN3257900E4551800;4551850;3257950;6291;NA
CRS3035RES100mN3257900E4551900;4551950;3257950;7073;NA
CRS3035RES100mN3257900E4552000;4552050;3257950;7199;NA
CRS3035RES100mN3257900E4552100;4552150;3257950;6542;NA
CRS3035RES100mN3257900E4552200;4552250;3257950;4574;NA
CRS3035RES100mN3257900E4552400;4552450;3257950;4566;NA
CRS3035RES100mN3257900E4552500;4552550;3257950;6070;NA
CRS3035RES100mN3257900E4552600;4552650;3257950;5916;NA
CRS3035RES100mN3257900E4552700;4552750;3257950;4467;NA
CRS3035RES100mN3257900E4552800;4552850;3257950;5734;NA
CRS3035RES100mN3257900E4552900;4552950;3257950;6610;NA
CRS3035RES100mN3257900E4553000;4553050;3257950;4887;NA
CRS3035RES100mN3257900E4553200;4553250;3257950;3954;NA
CRS3035RES100mN3257900E4553300;4553350;3257950;10504;NA
CRS3035RES100mN3257900E4553400;4553450;3257950;7385;NA
CRS3035RES100mN3257900E4553500;4553550;3257950;7812;NA
CRS3035RES100mN3257900E4553600;4553650;3257950;5216;NA
CRS3035RES100mN3257900E4553700;4553750;3257950;6416;NA
CRS3035RES100mN3257900E4553800;4553850;3257950;7135;NA
CRS3035RES100mN3257900E4553900;4553950;3257950;7206;NA
CRS3035RES100mN3257900E4569000;4569050;3257950;6455;NA
CRS3035RES100mN3257900E4569300;4569350;3257950;5987;NA
CRS3035RES100mN3257900E4569400;4569450;3257950;6826;NA
CRS3035RES100mN3257900E4569800;4569850;3257950;7406;NA
CRS3035RES100mN3258000E4533900;4533950;3258050;6985;NA
CRS3035RES100mN3258000E4551600;4551650;3258050;6099;NA
CRS3035RES100mN3258000E4551700;4551750;3258050;6894;NA
CRS3035RES100mN3258000E4551800;4551850;3258050;6673;NA
CRS3035RES100mN3258000E4551900;4551950;3258050;6580;NA
CRS3035RES100mN3258000E4552000;4552050;3258050;5788;NA
CRS3035RES100mN3258000E4552100;4552150;3258050;6249;NA
CRS3035RES100mN3258000E4552200;4552250;3258050;4491;NA
CRS3035RES100mN3258000E4552300;4552350;3258050;5622;NA
CRS3035RES100mN3258000E4552400;4552450;3258050;6722;NA
CRS3035RES100mN3258000E4552500;4552550;3258050;7048;NA
CRS3035RES100mN3258000E4552600;4552650;3258050;5583;NA
CRS3035RES100mN3258000E4552700;4552750;3258050;6257;NA
CRS3035RES100mN3258000E4552800;4552850;3258050;6077;NA
CRS3035RES100mN3258000E4552900;4552950;3258050;7318;NA
CRS3035RES100mN3258000E4553000;4553050;3258050;7946;NA
CRS3035RES100mN3258000E4553200;4553250;3258050;4361;NA
CRS3035RES100mN3258000E4553300;4553350;3258050;5157;NA
CRS3035RES100mN3258000E4553400;4553450;3258050;5447;NA
CRS3035RES100mN3258000E4553500;4553550;3258050;10038;NA
CRS3035RES100mN3258000E4553600;4553650;3258050;5769;NA
CRS3035RES100mN3258000E4553700;4553750;3258050;6616;NA
CRS3035RES100mN3258000E4553800;4553850;3258050;5597;NA
CRS3035RES100mN3258000E4553900;4553950;3258050;5919;NA
CRS3035RES100mN3258000E4554000;4554050;3258050;6863;NA
CRS3035RES100mN3258000E4569300;4569350;3258050;6300;NA
CRS3035RES100mN3258000E4569400;4569450;3258050;4530;NA
CRS3035RES100mN3258000E4569500;4569550;3258050;5239;NA
CRS3035RES100mN3258000E4569600;4569650;3258050;5242;NA
CRS3035RES100mN3258000E4570000;4570050;3258050;8287;NA
CRS3035RES100mN3258100E4551600;4551650;3258150;6794;NA
CRS3035RES100mN3258100E4551700;4551750;3258150;7111;NA
CRS3035RES100mN3258100E4551800;4551850;3258150;6689;NA
CRS3035RES100mN3258100E4551900;4551950;3258150;6241;NA
CRS3035RES100mN3258100E4552000;4552050;3258150;5946;NA
CRS3035RES100mN3258100E4552100;4552150;3258150;6141;NA
CRS3035RES100mN3258100E4552200;4552250;3258150;5287;NA
CRS3035RES100mN3258100E4552400;4552450;3258150;5821;NA
CRS3035RES100mN3258100E4552500;4552550;3258150;5571;NA
CRS3035RES100mN3258100E4552600;4552650;3258150;5305;NA
CRS3035RES100mN3258100E4552700;4552750;3258150;6876;NA
CRS3035RES100mN3258100E4552800;4552850;3258150;6387;NA
CRS3035RES100mN3258100E4552900;4552950;3258150;3990;NA
CRS3035RES100mN3258100E4553000;4553050;3258150;5425;NA
CRS3035RES100mN3258100E4553100;4553150;3258150;5388;NA
CRS3035RES100mN3258100E4553200;4553250;3258150;4650;NA
CRS3035RES100mN3258100E4553300;4553350;3258150;5772;NA
CRS3035RES100mN3258100E4553400;4553450;3258150;6875;NA
CRS3035RES100mN3258100E4553500;4553550;3258150;9219;NA
CRS3035RES100mN3258100E4553600;4553650;3258150;5399;NA
CRS3035RES100mN3258100E4553700;4553750;3258150;6316;NA
CRS3035RES100mN3258100E4553800;4553850;3258150;5663;NA
CRS3035RES100mN3258100E4553900;4553950;3258150;6550;NA
CRS3035RES100mN3258100E4554000;4554050;3258150;5356;NA
CRS3035RES100mN3258100E4566800;4566850;3258150;5519;NA
CRS3035RES100mN3258100E4566900;4566950;3258150;4765;NA
CRS3035RES100mN3258100E4569000;4569050;3258150;7138;NA
CRS3035RES100mN3258100E4569100;4569150;3258150;9486;NA
CRS3035RES100mN3258100E4569200;4569250;3258150;5642;NA
CRS3035RES100mN3258100E4569300;4569350;3258150;8694;NA
CRS3035RES100mN3258100E4569400;4569450;3258150;8654;NA
CRS3035RES100mN3258100E4569500;4569550;3258150;5417;NA
CRS3035RES100mN3258100E4569600;4569650;3258150;6528;NA
CRS3035RES100mN3258100E4572600;4572650;3258150;6593;NA
CRS3035RES100mN3258100E4572700;4572750;3258150;5036;NA
CRS3035RES100mN3258200E4551600;4551650;3258250;5700;NA
CRS3035RES100mN3258200E4551700;4551750;3258250;6174;NA
CRS3035RES100mN3258200E4551800;4551850;3258250;8099;NA
CRS3035RES100mN3258200E4551900;4551950;3258250;5892;NA
CRS3035RES100mN3258200E4552000;4552050;3258250;5501;NA
CRS3035RES100mN3258200E4552100;4552150;3258250;4884;NA
CRS3035RES100mN3258200E4552300;4552350;3258250;6035;NA
CRS3035RES100mN3258200E4552400;4552450;3258250;4992;NA
CRS3035RES100mN3258200E4552500;4552550;3258250;4522;NA
CRS3035RES100mN3258200E4552600;4552650;3258250;6596;NA
CRS3035RES100mN3258200E4552700;4552750;3258250;6862;NA
CRS3035RES100mN3258200E4553000;4553050;3258250;5885;NA
CRS3035RES100mN3258200E4553100;4553150;3258250;5167;NA
CRS3035RES100mN3258200E4553200;4553250;3258250;4006;NA
CRS3035RES100mN3258200E4553300;4553350;3258250;7688;NA
CRS3035RES100mN3258200E4553400;4553450;3258250;7984;NA
CRS3035RES100mN3258200E4553500;4553550;3258250;6089;NA
CRS3035RES100mN3258200E4553600;4553650;3258250;6741;NA
CRS3035RES100mN3258200E4553700;4553750;3258250;7597;NA
