GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Deutschland;Ausland_Sonstige;EU27_Land;Sonstiges_Europa;Sonstige_Welt;Sonstige
CRS3035RES100mN3254000E4569400;4569450;3254050;8;7;3;–;3;–;–
CRS3035RES100mN3254100E4569300;4569350;3254150;3;3;–;–;–;–;–
CRS3035RES100mN3254100E4569400;4569450;3254150;19;13;3;3;–;–;–
CRS3035RES100mN3254100E4569500;4569550;3254150;26;24;3;–;–;–;–
CRS3035RES100mN3254100E4569600;4569650;3254150;3;3;–;–;–;–;–
CRS3035RES100mN3254200E4569300;4569350;3254250;10;10;–;–;–;–;–
CRS3035RES100mN3254200E4569400;4569450;3254250;16;14;–;–;–;–;–
CRS3035RES100mN3254200E4569500;4569550;3254250;11;11;–;–;–;–;–
CRS3035RES100mN3254200E4569600;4569650;3254250;11;11;3;3;–;–;–
CRS3035RES100mN3254300E4569300;4569350;3254350;16;14;–;–;–;–;–
CRS3035RES100mN3254300E4569400;4569450;3254350;12;12;–;–;–;–;–
CRS3035RES100mN3254300E4569500;4569550;3254350;27;26;3;3;–;–;–
CRS3035RES100mN3254300E4569600;4569650;3254350;4;4;–;–;–;–;–
CRS3035RES100mN3254400E4569200;4569250;3254450;6;4;–;–;–;–;–
CRS3035RES100mN3254500E4568800;4568850;3254550;7;3;3;–;–;–;–
CRS3035RES100mN3254600E4568800;4568850;3254650;12;12;–;–;–;–;–
CRS3035RES100mN3254600E4568900;4568950;3254650;8;6;–;–;–;–;–
CRS3035RES100mN3254700E4568800;4568850;3254750;19;19;–;–;–;–;–
CRS3035RES100mN3254700E4568900;4568950;3254750;18;18;–;–;–;–;–
CRS3035RES100mN3254700E4569000;4569050;3254750;7;7;–;–;–;–;–
CRS3035RES100mN3254700E4569100;4569150;3254750;4;–;–;–;–;–;–
CRS3035RES100mN3254700E4569200;4569250;3254750;14;14;–;–;–;–;–
CRS3035RES100mN3254700E4569300;4569350;3254750;3;3;–;–;–;–;–
CRS3035RES100mN3254800E4568900;4568950;3254850;8;8;–;–;–;–;–
CRS3035RES100mN3254800E4569000;4569050;3254850;26;23;–;–;–;–;–
CRS3035RES100mN3254800E4569100;4569150;3254850;15;15;–;–;–;–;–
CRS3035RES100mN3254800E4569200;4569250;3254850;43;38;3;–;3;–;–
CRS3035RES100mN3254900E4568900;4568950;3254950;10;6;3;–;–;–;–
CRS3035RES100mN3254900E4569000;4569050;3254950;27;27;–;–;–;–;–
CRS3035RES100mN3254900E4569100;4569150;3254950;25;23;–;–;–;–;–
CRS3035RES100mN3254900E4569200;4569250;3254950;28;26;3;–;–;–;–
CRS3035RES100mN3255000E4569000;4569050;3255050;12;12;–;–;–;–;–
CRS3035RES100mN3255000E4569100;4569150;3255050;8;8;–;–;–;–;–
CRS3035RES100mN3255000E4569200;4569250;3255050;5;5;–;–;–;–;–
CRS3035RES100mN3255000E4569300;4569350;3255050;7;4;–;–;–;–;–
CRS3035RES100mN3257400E4552300;4552350;3257450;35;33;–;–;–;–;–
CRS3035RES100mN3257400E4552400;4552450;3257450;72;68;7;4;–;–;–
CRS3035RES100mN3257400E4552500;4552550;3257450;3;3;–;–;–;–;–
CRS3035RES100mN3257400E4552600;4552650;3257450;42;41;–;–;–;–;–
CRS3035RES100mN3257400E4552700;4552750;3257450;35;36;–;–;–;–;–
CRS3035RES100mN3257400E4552800;4552850;3257450;28;22;3;–;–;3;–
CRS3035RES100mN3257400E4552900;4552950;3257450;36;36;–;–;–;–;–
CRS3035RES100mN3257400E4553000;4553050;3257450;60;50;12;9;–;3;–
CRS3035RES100mN3257400E4553100;4553150;3257450;38;34;3;3;–;3;–
CRS3035RES100mN3257400E4553200;4553250;3257450;84;80;8;6;–;–;–
CRS3035RES100mN3257400E4553300;4553350;3257450;194;178;20;9;5;–;3
CRS3035RES100mN3257400E4553400;4553450;3257450;167;148;17;7;3;7;–
CRS3035RES100mN3257400E4553500;4553550;3257450;74;59;12;7;–;5;–
CRS3035RES100mN3257400E4553700;4553750;3257450;4;4;–;–;–;–;–
CRS3035RES100mN3257400E4572200;4572250;3257450;7;7;–;–;–;–;–
CRS3035RES100mN3257500E4552000;4552050;3257550;4;4;–;–;–;–;–
CRS3035RES100mN3257500E4552100;4552150;3257550;43;41;3;–;–;3;–
CRS3035RES100mN3257500E4552200;4552250;3257550;44;44;3;3;–;–;–
CRS3035RES100mN3257500E4552300;4552350;3257550;48;39;7;5;5;–;–
CRS3035RES100mN3257500E4552400;4552450;3257550;26;23;5;4;–;3;3
CRS3035RES100mN3257500E4552500;4552550;3257550;28;24;–;–;–;–;–
CRS3035RES100mN3257500E4552600;4552650;3257550;33;27;3;3;–;–;–
CRS3035RES100mN3257500E4552700;4552750;3257550;33;30;–;–;–;–;–
CRS3035RES100mN3257500E4552800;4552850;3257550;24;20;–;3;–;–;–
CRS3035RES100mN3257500E4552900;4552950;3257550;50;41;6;3;–;3;–
CRS3035RES100mN3257500E4553000;4553050;3257550;50;39;9;–;7;–;–
CRS3035RES100mN3257500E4553100;4553150;3257550;30;27;4;3;–;3;–
CRS3035RES100mN3257500E4553200;4553250;3257550;20;20;–;–;–;–;–
CRS3035RES100mN3257500E4553300;4553350;3257550;40;33;10;–;3;5;–
CRS3035RES100mN3257500E4553400;4553450;3257550;72;52;18;8;3;7;–
CRS3035RES100mN3257500E4553500;4553550;3257550;76;64;9;3;–;6;–
CRS3035RES100mN3257500E4569000;4569050;3257550;8;8;–;–;–;–;–
CRS3035RES100mN3257500E4571800;4571850;3257550;8;–;7;–;7;–;–
CRS3035RES100mN3257600E4551800;4551850;3257650;16;16;–;–;–;–;–
CRS3035RES100mN3257600E4551900;4551950;3257650;15;15;–;–;–;–;–
CRS3035RES100mN3257600E4552000;4552050;3257650;8;8;–;–;–;–;–
CRS3035RES100mN3257600E4552100;4552150;3257650;22;20;–;–;–;–;–
CRS3035RES100mN3257600E4552200;4552250;3257650;30;28;–;–;–;–;–
CRS3035RES100mN3257600E4552300;4552350;3257650;56;50;9;–;3;4;–
CRS3035RES100mN3257600E4552400;4552450;3257650;20;17;5;5;–;–;–
CRS3035RES100mN3257600E4552500;4552550;3257650;30;28;5;–;3;–;–
CRS3035RES100mN3257600E4552600;4552650;3257650;23;25;–;–;–;–;–
CRS3035RES100mN3257600E4552700;4552750;3257650;43;34;9;5;3;–;–
CRS3035RES100mN3257600E4552800;4552850;3257650;34;32;4;3;–;–;–
CRS3035RES100mN3257600E4552900;4552950;3257650;43;43;–;–;–;–;–
CRS3035RES100mN3257600E4553000;4553050;3257650;50;39;8;8;–;3;–
CRS3035RES100mN3257600E4553100;4553150;3257650;29;27;5;3;–;–;3
CRS3035RES100mN3257600E4553200;4553250;3257650;11;11;–;–;–;–;–
CRS3035RES100mN3257600E4553400;4553450;3257650;218;20;201;3;61;137;3
CRS3035RES100mN3257600E4569000;4569050;3257650;10;10;–;–;–;–;–
CRS3035RES100mN3257700E4534100;4534150;3257750;42;38;–;–;–;3;–
CRS3035RES100mN3257700E4551800;4551850;3257750;43;39;6;4;3;–;–
CRS3035RES100mN3257700E4551900;4551950;3257750;24;21;–;–;3;–;–
CRS3035RES100mN3257700E4552000;4552050;3257750;12;11;4;–;–;–;–
CRS3035RES100mN3257700E4552100;4552150;3257750;36;34;3;–;3;–;–
CRS3035RES100mN3257700E4552200;4552250;3257750;32;29;6;6;–;–;–
CRS3035RES100mN3257700E4552300;4552350;3257750;5;5;–;–;–;–;–
CRS3035RES100mN3257700E4552400;4552450;3257750;6;6;3;–;–;3;–
CRS3035RES100mN3257700E4552500;4552550;3257750;46;42;–;–;–;–;–
CRS3035RES100mN3257700E4552600;4552650;3257750;24;22;5;5;–;–;–
CRS3035RES100mN3257700E4552700;4552750;3257750;15;17;–;–;–;–;–
CRS3035RES100mN3257700E4552800;4552850;3257750;22;21;–;–;–;–;–
CRS3035RES100mN3257700E4552900;4552950;3257750;40;41;3;3;–;–;–
CRS3035RES100mN3257700E4553000;4553050;3257750;35;32;5;3;–;–;–
CRS3035RES100mN3257700E4553100;4553150;3257750;30;27;–;–;–;–;–
CRS3035RES100mN3257700E4569000;4569050;3257750;17;12;3;3;–;–;–
CRS3035RES100mN3257700E4569400;4569450;3257750;3;3;–;–;–;–;–
CRS3035RES100mN3257700E4572400;4572450;3257750;5;5;–;–;–;–;–
CRS3035RES100mN3257800E4534000;4534050;3257850;26;21;7;–;–;8;–
CRS3035RES100mN3257800E4551800;4551850;3257850;51;44;6;–;3;4;–
CRS3035RES100mN3257800E4551900;4551950;3257850;35;29;3;–;–;–;–
CRS3035RES100mN3257800E4552000;4552050;3257850;17;16;3;3;–;–;–
CRS3035RES100mN3257800E4552100;4552150;3257850;49;40;3;–;–;5;–
CRS3035RES100mN3257800E4552200;4552250;3257850;18;16;–;–;–;–;–
CRS3035RES100mN3257800E4552300;4552350;3257850;8;8;–;–;–;–;–
CRS3035RES100mN3257800E4552400;4552450;3257850;31;26;3;–;–;3;–
CRS3035RES100mN3257800E4552500;4552550;3257850;27;25;4;–;–;–;–
CRS3035RES100mN3257800E4552600;4552650;3257850;41;36;3;–;–;3;–
CRS3035RES100mN3257800E4552700;4552750;3257850;38;33;8;–;–;3;–
CRS3035RES100mN3257800E4552800;4552850;3257850;33;32;4;3;–;3;–
CRS3035RES100mN3257800E4552900;4552950;3257850;48;41;7;5;–;–;–
CRS3035RES100mN3257800E4553000;4553050;3257850;33;25;7;3;–;5;–
CRS3035RES100mN3257800E4553100;4553150;3257850;15;10;3;3;3;–;–
CRS3035RES100mN3257800E4553200;4553250;3257850;58;46;11;4;4;4;–
CRS3035RES100mN3257800E4553300;4553350;3257850;42;24;15;10;7;–;3
CRS3035RES100mN3257800E4553400;4553450;3257850;32;21;6;–;3;6;–
CRS3035RES100mN3257800E4553500;4553550;3257850;16;16;3;3;–;–;–
CRS3035RES100mN3257800E4553600;4553650;3257850;36;6;28;3;5;20;–
CRS3035RES100mN3257800E4569000;4569050;3257850;43;43;–;–;–;–;–
CRS3035RES100mN3257800E4569300;4569350;3257850;19;15;–;–;–;–;–
CRS3035RES100mN3257800E4569400;4569450;3257850;42;37;8;3;7;–;–
CRS3035RES100mN3257800E4572500;4572550;3257850;5;4;–;–;–;–;–
CRS3035RES100mN3257900E4533900;4533950;3257950;20;13;5;3;3;3;–
CRS3035RES100mN3257900E4534000;4534050;3257950;9;9;–;–;–;–;–
CRS3035RES100mN3257900E4551700;4551750;3257950;29;19;8;–;–;6;–
CRS3035RES100mN3257900E4551800;4551850;3257950;44;38;4;–;–;3;3
CRS3035RES100mN3257900E4551900;4551950;3257950;23;22;–;–;–;–;–
CRS3035RES100mN3257900E4552000;4552050;3257950;45;38;4;–;3;3;–
CRS3035RES100mN3257900E4552100;4552150;3257950;23;11;8;–;4;3;–
CRS3035RES100mN3257900E4552200;4552250;3257950;111;83;29;11;8;7;–
CRS3035RES100mN3257900E4552400;4552450;3257950;56;47;6;4;3;4;–
CRS3035RES100mN3257900E4552500;4552550;3257950;71;64;11;3;–;3;–
CRS3035RES100mN3257900E4552600;4552650;3257950;47;37;13;3;–;6;–
CRS3035RES100mN3257900E4552700;4552750;3257950;50;48;4;4;–;–;–
CRS3035RES100mN3257900E4552800;4552850;3257950;43;36;5;–;–;5;–
CRS3035RES100mN3257900E4552900;4552950;3257950;25;24;3;3;–;–;–
CRS3035RES100mN3257900E4553000;4553050;3257950;32;32;–;–;–;–;–
CRS3035RES100mN3257900E4553100;4553150;3257950;107;99;13;10;3;–;–
CRS3035RES100mN3257900E4553200;4553250;3257950;143;120;21;11;6;5;–
CRS3035RES100mN3257900E4553300;4553350;3257950;16;16;4;3;–;–;–
CRS3035RES100mN3257900E4553400;4553450;3257950;38;35;–;–;–;4;–
CRS3035RES100mN3257900E4553500;4553550;3257950;47;43;–;3;3;–;–
CRS3035RES100mN3257900E4553600;4553650;3257950;40;37;4;3;–;–;–
CRS3035RES100mN3257900E4553700;4553750;3257950;28;28;–;–;–;–;–
CRS3035RES100mN3257900E4553800;4553850;3257950;20;20;–;–;–;–;–
CRS3035RES100mN3257900E4553900;4553950;3257950;32;32;3;–;3;–;–
CRS3035RES100mN3257900E4569000;4569050;3257950;16;16;–;–;–;–;–
CRS3035RES100mN3257900E4569300;4569350;3257950;24;19;6;3;–;–;–
CRS3035RES100mN3257900E4569400;4569450;3257950;20;19;–;–;–;–;–
CRS3035RES100mN3257900E4569700;4569750;3257950;3;3;–;–;–;–;–
CRS3035RES100mN3257900E4569800;4569850;3257950;6;6;–;–;–;–;–
CRS3035RES100mN3258000E4533900;4533950;3258050;23;26;–;–;–;–;–
CRS3035RES100mN3258000E4551600;4551650;3258050;54;53;3;–;3;–;–
CRS3035RES100mN3258000E4551700;4551750;3258050;31;24;4;–;–;4;–
CRS3035RES100mN3258000E4551800;4551850;3258050;39;38;3;3;–;3;–
CRS3035RES100mN3258000E4551900;4551950;3258050;40;35;6;–;–;4;–
CRS3035RES100mN3258000E4552000;4552050;3258050;47;45;3;3;–;–;–
CRS3035RES100mN3258000E4552100;4552150;3258050;37;32;8;3;3;–;3
CRS3035RES100mN3258000E4552200;4552250;3258050;132;112;21;10;13;5;–
CRS3035RES100mN3258000E4552300;4552350;3258050;14;14;–;–;–;–;–
CRS3035RES100mN3258000E4552400;4552450;3258050;26;21;3;–;3;3;–
CRS3035RES100mN3258000E4552500;4552550;3258050;35;32;3;–;3;–;–
CRS3035RES100mN3258000E4552600;4552650;3258050;52;47;4;–;–;–;–
CRS3035RES100mN3258000E4552700;4552750;3258050;50;51;3;3;–;–;–
CRS3035RES100mN3258000E4552800;4552850;3258050;57;46;6;3;–;5;–
CRS3035RES100mN3258000E4552900;4552950;3258050;32;27;3;3;–;–;–
CRS3035RES100mN3258000E4553000;4553050;3258050;10;6;–;–;–;–;–
CRS3035RES100mN3258000E4553200;4553250;3258050;36;34;–;–;–;–;–
CRS3035RES100mN3258000E4553300;4553350;3258050;52;37;11;8;4;–;–
CRS3035RES100mN3258000E4553400;4553450;3258050;53;44;8;10;–;–;–
CRS3035RES100mN3258000E4553500;4553550;3258050;16;16;3;3;–;–;–
CRS3035RES100mN3258000E4553600;4553650;3258050;27;28;4;–;3;–;–
CRS3035RES100mN3258000E4553700;4553750;3258050;40;33;11;3;–;–;–
CRS3035RES100mN3258000E4553800;4553850;3258050;50;46;–;–;–;–;–
CRS3035RES100mN3258000E4553900;4553950;3258050;36;31;6;–;–;6;–
CRS3035RES100mN3258000E4554000;4554050;3258050;31;27;5;3;–;–;–
CRS3035RES100mN3258000E4569300;4569350;3258050;6;6;–;–;–;–;–
CRS3035RES100mN3258000E4569400;4569450;3258050;34;30;3;3;–;–;–
CRS3035RES100mN3258000E4569500;4569550;3258050;76;64;13;4;5;3;–
CRS3035RES100mN3258000E4569600;4569650;3258050;13;13;–;–;–;–;–
CRS3035RES100mN3258000E4569900;4569950;3258050;3;3;–;–;–;–;–
CRS3035RES100mN3258000E4570000;4570050;3258050;12;6;3;4;–;–;–
CRS3035RES100mN3258100E4551600;4551650;3258150;33;28;6;3;–;3;–
CRS3035RES100mN3258100E4551700;4551750;3258150;18;15;6;6;–;–;–
CRS3035RES100mN3258100E4551800;4551850;3258150;13;9;5;5;–;–;–
CRS3035RES100mN3258100E4551900;4551950;3258150;31;26;9;3;–;3;–
CRS3035RES100mN3258100E4552000;4552050;3258150;32;29;4;–;–;3;–
CRS3035RES100mN3258100E4552100;4552150;3258150;79;67;14;5;–;8;–
CRS3035RES100mN3258100E4552200;4552250;3258150;46;35;9;4;8;–;–
CRS3035RES100mN3258100E4552400;4552450;3258150;29;26;5;6;3;–;–
CRS3035RES100mN3258100E4552500;4552550;3258150;37;37;3;3;–;–;–
CRS3035RES100mN3258100E4552600;4552650;3258150;19;19;–;–;–;–;–
CRS3035RES100mN3258100E4552700;4552750;3258150;34;34;–;–;–;–;–
CRS3035RES100mN3258100E4552800;4552850;3258150;19;19;3;–;3;–;–
CRS3035RES100mN3258100E4552900;4552950;3258150;37;33;3;3;–;–;–
CRS3035RES100mN3258100E4553000;4553050;3258150;6;6;3;–;–;3;–
CRS3035RES100mN3258100E4553100;4553150;3258150;8;6;4;4;–;–;–
CRS3035RES100mN3258100E4553200;4553250;3258150;69;59;7;5;3;3;–
CRS3035RES100mN3258100E4553300;4553350;3258150;40;35;3;3;–;–;–
CRS3035RES100mN3258100E4553400;4553450;3258150;47;40;9;6;–;6;–
CRS3035RES100mN3258100E4553500;4553550;3258150;49;44;7;6;3;3;–
CRS3035RES100mN3258100E4553600;4553650;3258150;38;37;3;3;–;–;–
CRS3035RES100mN3258100E4553700;4553750;3258150;36;36;–;–;–;–;–
CRS3035RES100mN3258100E4553800;4553850;3258150;36;28;6;–;4;–;–
CRS3035RES100mN3258100E4553900;4553950;3258150;40;36;–;3;–;–;–
CRS3035RES100mN3258100E4554000;4554050;3258150;39;32;8;7;–;3;–
CRS3035RES100mN3258100E4566800;4566850;3258150;30;29;–;–;–;–;–
CRS3035RES100mN3258100E4566900;4566950;3258150;15;9;3;–;3;–;–
CRS3035RES100mN3258100E4569000;4569050;3258150;5;5;–;–;–;–;–
CRS3035RES100mN3258100E4569100;4569150;3258150;7;7;–;–;–;–;–
CRS3035RES100mN3258100E4569200;4569250;3258150;25;23;4;–;–;3;–
CRS3035RES100mN3258100E4569300;4569350;3258150;10;10;–;–;–;–;–
CRS3035RES100mN3258100E4569400;4569450;3258150;11;11;–;–;–;–;–
CRS3035RES100mN3258100E4569500;4569550;3258150;35;35;–;–;–;–;–
CRS3035RES100mN3258100E4569600;4569650;3258150;11;11;–;–;–;–;–
CRS3035RES100mN3258100E4569900;4569950;3258150;3;3;–;–;–;–;–
CRS3035RES100mN3258100E4572600;4572650;3258150;11;11;–;–;–;–;–
CRS3035RES100mN3258100E4572700;4572750;3258150;18;18;–;–;–;–;–
CRS3035RES100mN3258200E4551600;4551650;3258250;42;37;4;–;3;3;–
CRS3035RES100mN3258200E4551700;4551750;3258250;64;57;11;4;3;–;–
CRS3035RES100mN3258200E4551800;4551850;3258250;51;45;10;3;–;3;–
CRS3035RES100mN3258200E4551900;4551950;3258250;70;67;5;–;4;–;–
CRS3035RES100mN3258200E4552000;4552050;3258250;31;25;3;3;–;3;–
CRS3035RES100mN3258200E4552100;4552150;3258250;156;124;29;18;4;6;–
CRS3035RES100mN3258200E4552300;4552350;3258250;51;49;5;3;–;–;–
CRS3035RES100mN3258200E4552400;4552450;3258250;35;33;4;4;–;–;–
CRS3035RES100mN3258200E4552500;4552550;3258250;38;28;9;–;–;6;–
CRS3035RES100mN3258200E4552600;4552650;3258250;56;43;11;10;–;4;–
CRS3035RES100mN3258200E4552700;4552750;3258250;34;34;–;–;–;–;–
CRS3035RES100mN3258200E4553000;4553050;3258250;32;27;3;3;–;–;–
CRS3035RES100mN3258200E4553100;4553150;3258250;92;69;21;8;7;5;–
CRS3035RES100mN3258200E4553200;4553250;3258250;55;49;7;5;–;3;–
CRS3035RES100mN3258200E4553300;4553350;3258250;29;25;–;–;–;–;–
CRS3035RES100mN3258200E4553400;4553450;3258250;37;37;3;–;3;–;–
CRS3035RES100mN3258200E4553500;4553550;3258250;42;36;3;–;–;5;–
CRS3035RES100mN3258200E4553600;4553650;3258250;26;27;–;–;–;–;–
CRS3035RES100mN3258200E4553700;4553750;3258250;30;31;–;–;–;–;–
CRS3035RES100mN3258200E4553800;4553850;3258250;37;34;3;3;3;–;–
CRS3035RES100mN3258200E4553900;4553950;3258250;33;29;7;–;–;4;–
CRS3035RES100mN3258200E4554000;4554050;3258250;37;34;–;3;–;–;–
CRS3035RES100mN3258200E4566800;4566850;3258250;33;25;7;3;3;–;–
CRS3035RES100mN3258200E4566900;4566950;3258250;13;13;–;–;–;–;–
CRS3035RES100mN3258200E4567000;4567050;3258250;11;10;–;–;–;–;–
CRS3035RES100mN3258200E4569000;4569050;3258250;11;14;–;–;–;–;–
CRS3035RES100mN3258200E4569100;4569150;3258250;25;25;3;3;–;–;–
CRS3035RES100mN3258200E4569200;4569250;3258250;9;8;3;–;–;3;–
CRS3035RES100mN3258200E4569300;4569350;3258250;17;16;3;–;3;–;–
CRS3035RES100mN3258200E4569400;4569450;3258250;34;34;3;–;–;3;–
CRS3035RES100mN3258200E4569500;4569550;3258250;6;7;3;3;–;–;–
CRS3035RES100mN3258200E4572600;4572650;3258250;13;13;–;–;–;–;–
CRS3035RES100mN3258200E4572700;4572750;3258250;24;24;–;–;–;–;–
CRS3035RES100mN3258300E4551600;4551650;3258350;36;34;3;–;–;3;–
CRS3035RES100mN3258300E4551700;4551750;3258350;38;32;4;–;–;–;–
CRS3035RES100mN3258300E4551800;4551850;3258350;30;18;6;4;–;–;–
CRS3035RES100mN3258300E4551900;4551950;3258350;53;49;3;–;–;–;–
CRS3035RES100mN3258300E4552000;4552050;3258350;82;64;18;9;–;10;–
CRS3035RES100mN3258300E4552100;4552150;3258350;153;114;42;19;14;8;–
CRS3035RES100mN3258300E4552200;4552250;3258350;13;8;8;4;4;–;–
CRS3035RES100mN3258300E4552300;4552350;3258350;104;60;45;10;13;20;–
CRS3035RES100mN3258300E4552400;4552450;3258350;56;50;8;–;4;3;–
CRS3035RES100mN3258300E4552500;4552550;3258350;13;10;5;–;–;–;–
CRS3035RES100mN3258300E4552600;4552650;3258350;19;15;–;–;–;–;–
CRS3035RES100mN3258300E4552700;4552750;3258350;27;27;–;–;–;–;–
CRS3035RES100mN3258300E4552800;4552850;3258350;9;11;–;–;–;–;–
CRS3035RES100mN3258300E4553000;4553050;3258350;15;9;4;–;–;3;–
CRS3035RES100mN3258300E4553100;4553150;3258350;81;56;26;5;–;16;–
CRS3035RES100mN3258300E4553200;4553250;3258350;71;61;10;7;–;–;–
CRS3035RES100mN3258300E4553300;4553350;3258350;33;35;3;–;–;–;–
CRS3035RES100mN3258300E4553400;4553450;3258350;47;41;10;3;–;6;–
CRS3035RES100mN3258300E4553500;4553550;3258350;46;39;7;–;3;3;–
CRS3035RES100mN3258300E4553600;4553650;3258350;14;13;3;3;–;–;–
CRS3035RES100mN3258300E4553700;4553750;3258350;45;42;3;–;–;4;–
CRS3035RES100mN3258300E4553800;4553850;3258350;40;40;–;–;–;–;–
CRS3035RES100mN3258300E4553900;4553950;3258350;32;31;4;3;–;–;–
CRS3035RES100mN3258300E4554000;4554050;3258350;32;29;–;3;–;–;–
CRS3035RES100mN3258300E4554100;4554150;3258350;32;29;6;3;3;3;–
CRS3035RES100mN3258300E4566900;4566950;3258350;5;5;–;–;–;–;–
CRS3035RES100mN3258300E4567000;4567050;3258350;25;21;–;–;–;–;–
CRS3035RES100mN3258300E4567100;4567150;3258350;23;21;–;–;–;–;–
CRS3035RES100mN3258300E4567200;4567250;3258350;23;23;–;–;–;–;–
CRS3035RES100mN3258300E4569000;4569050;3258350;3;–;–;–;–;–;–
CRS3035RES100mN3258300E4569400;4569450;3258350;14;14;–;–;–;–;–
CRS3035RES100mN3258300E4572600;4572650;3258350;6;6;–;–;–;–;–
CRS3035RES100mN3258300E4572700;4572750;3258350;10;10;–;–;–;–;–
CRS3035RES100mN3258400E4551600;4551650;3258450;47;43;3;3;–;–;–
CRS3035RES100mN3258400E4551700;4551750;3258450;21;21;–;–;–;–;–
CRS3035RES100mN3258400E4551800;4551850;3258450;37;37;3;3;–;–;–
CRS3035RES100mN3258400E4551900;4551950;3258450;51;50;3;–;–;–;–
CRS3035RES100mN3258400E4552000;4552050;3258450;70;68;5;3;–;–;–
CRS3035RES100mN3258400E4552200;4552250;3258450;83;41;44;13;13;18;–
CRS3035RES100mN3258400E4552300;4552350;3258450;83;59;25;4;6;11;–
CRS3035RES100mN3258400E4552400;4552450;3258450;29;27;4;–;–;–;–
CRS3035RES100mN3258400E4552500;4552550;3258450;33;29;3;–;–;3;–
CRS3035RES100mN3258400E4552600;4552650;3258450;71;56;18;–;3;14;–
CRS3035RES100mN3258400E4552700;4552750;3258450;47;38;11;3;–;4;–
CRS3035RES100mN3258400E4552800;4552850;3258450;54;37;15;8;6;6;–
CRS3035RES100mN3258400E4552900;4552950;3258450;24;20;3;–;–;–;–
CRS3035RES100mN3258400E4553000;4553050;3258450;36;32;–;3;–;–;–
CRS3035RES100mN3258400E4553100;4553150;3258450;31;25;7;3;–;3;–
CRS3035RES100mN3258400E4553200;4553250;3258450;45;37;5;3;–;–;–
CRS3035RES100mN3258400E4553300;4553350;3258450;36;36;3;–;–;–;–
CRS3035RES100mN3258400E4553400;4553450;3258450;33;28;7;3;–;3;–
CRS3035RES100mN3258400E4553500;4553550;3258450;30;25;4;–;–;3;–
CRS3035RES100mN3258400E4553600;4553650;3258450;37;34;–;–;–;–;–
CRS3035RES100mN3258400E4553700;4553750;3258450;42;37;5;3;–;3;–
CRS3035RES100mN3258400E4553800;4553850;3258450;38;26;9;–;5;–;–
CRS3035RES100mN3258400E4553900;4553950;3258450;46;40;3;–;–;7;–
CRS3035RES100mN3258400E4554000;4554050;3258450;36;29;4;3;–;–;–
CRS3035RES100mN3258400E4554100;4554150;3258450;59;47;9;8;–;3;–
CRS3035RES100mN3258400E4567100;4567150;3258450;7;7;–;–;–;–;–
CRS3035RES100mN3258400E4567200;4567250;3258450;22;22;–;–;–;–;–
CRS3035RES100mN3258400E4567300;4567350;3258450;16;12;3;–;–;–;–
CRS3035RES100mN3258400E4567400;4567450;3258450;5;5;–;–;–;–;–
CRS3035RES100mN3258400E4568900;4568950;3258450;3;3;–;–;–;–;–
CRS3035RES100mN3258400E4569000;4569050;3258450;31;23;6;3;3;–;–
CRS3035RES100mN3258400E4569100;4569150;3258450;27;20;–;–;–;–;–
CRS3035RES100mN3258400E4569300;4569350;3258450;7;7;–;–;–;–;–
CRS3035RES100mN3258400E4569400;4569450;3258450;33;29;–;–;–;–;–
CRS3035RES100mN3258400E4569500;4569550;3258450;18;18;–;–;–;–;–
CRS3035RES100mN3258500E4551600;4551650;3258550;35;30;7;6;–;3;–
CRS3035RES100mN3258500E4551700;4551750;3258550;32;24;10;7;–;–;–
CRS3035RES100mN3258500E4551800;4551850;3258550;51;40;8;3;3;3;–
CRS3035RES100mN3258500E4551900;4551950;3258550;59;44;13;–;6;7;–
CRS3035RES100mN3258500E4552000;4552050;3258550;140;121;18;10;3;4;–
CRS3035RES100mN3258500E4552300;4552350;3258550;117;78;35;3;10;20;–
CRS3035RES100mN3258500E4552400;4552450;3258550;78;56;23;4;7;13;–
CRS3035RES100mN3258500E4552500;4552550;3258550;111;81;33;11;3;20;–
CRS3035RES100mN3258500E4552600;4552650;3258550;51;40;13;3;–;6;–
CRS3035RES100mN3258500E4552700;4552750;3258550;31;26;7;–;–;7;–
CRS3035RES100mN3258500E4552800;4552850;3258550;158;138;17;11;–;4;–
CRS3035RES100mN3258500E4552900;4552950;3258550;30;28;3;3;–;3;–
CRS3035RES100mN3258500E4553000;4553050;3258550;14;5;5;–;–;4;–
CRS3035RES100mN3258500E4553100;4553150;3258550;20;19;–;–;–;–;–
CRS3035RES100mN3258500E4553200;4553250;3258550;41;42;–;–;–;–;–
CRS3035RES100mN3258500E4553300;4553350;3258550;43;37;4;3;–;–;–
CRS3035RES100mN3258500E4553400;4553450;3258550;24;22;–;3;–;–;–
CRS3035RES100mN3258500E4553500;4553550;3258550;49;48;–;–;–;–;–
CRS3035RES100mN3258500E4553600;4553650;3258550;36;32;4;–;–;4;–
CRS3035RES100mN3258500E4553700;4553750;3258550;34;24;6;3;–;–;–
CRS3035RES100mN3258500E4553800;4553850;3258550;30;27;4;–;–;3;–
CRS3035RES100mN3258500E4553900;4553950;3258550;36;36;–;–;–;–;–
CRS3035RES100mN3258500E4554000;4554050;3258550;32;26;4;3;–;–;–
