GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Haushalte;1_Person;2_Personen;3_Personen;4_Personen;5_Personen;6_Personen_und_mehr
CRS3035RES100mN3257700E4552000;4552050;3257750;8;3;3;–;–;–;–
CRS3035RES100mN3257700E4552100;4552150;3257750;16;–;11;3;–;–;–
CRS3035RES100mN3257700E4552200;4552250;3257750;10;–;–;4;4;–;–
CRS3035RES100mN3257700E4552300;4552350;3257750;3;–;–;–;–;–;–
CRS3035RES100mN3257700E4552400;4552450;3257750;3;–;–;–;–;–;–
CRS3035RES100mN3257700E4552500;4552550;3257750;18;4;8;–;8;–;–
CRS3035RES100mN3257700E4552600;4552650;3257750;12;7;–;3;3;–;3
CRS3035RES100mN3257700E4552700;4552750;3257750;14;3;8;–;–;–;–
CRS3035RES100mN3257700E4552800;4552850;3257750;16;7;5;–;–;–;–
CRS3035RES100mN3257700E4552900;4552950;3257750;26;12;10;3;–;–;–
CRS3035RES100mN3257700E4553000;4553050;3257750;16;–;7;–;–;–;–
CRS3035RES100mN3257700E4553100;4553150;3257750;12;–;5;3;3;–;–
CRS3035RES100mN3257700E4569000;4569050;3257750;5;3;4;3;–;–;3
CRS3035RES100mN3257700E4572400;4572450;3257750;3;–;3;–;–;–;–
CRS3035RES100mN3257800E4534000;4534050;3257850;13;5;3;3;–;–;–
CRS3035RES100mN3257800E4551800;4551850;3257850;14;4;7;3;5;–;–
CRS3035RES100mN3257800E4551900;4551950;3257850;12;8;3;3;–;–;–
CRS3035RES100mN3257800E4552000;4552050;3257850;12;5;6;–;–;–;–
CRS3035RES100mN3257800E4552100;4552150;3257850;22;7;8;3;–;–;–
CRS3035RES100mN3257800E4552200;4552250;3257850;12;6;7;–;–;–;–
CRS3035RES100mN3257800E4552400;4552450;3257850;10;–;5;3;–;–;–
CRS3035RES100mN3257800E4552500;4552550;3257850;12;4;9;3;–;–;–
CRS3035RES100mN3257800E4552600;4552650;3257850;17;11;7;–;4;–;–
CRS3035RES100mN3257800E4552700;4552750;3257850;20;7;10;3;3;–;–
CRS3035RES100mN3257800E4552800;4552850;3257850;11;4;3;3;–;3;–
CRS3035RES100mN3257800E4552900;4552950;3257850;23;6;10;3;–;–;–
CRS3035RES100mN3257800E4553000;4553050;3257850;16;8;3;4;3;3;–
CRS3035RES100mN3257800E4553100;4553150;3257850;4;–;–;–;–;–;–
CRS3035RES100mN3257800E4553200;4553250;3257850;53;46;4;–;–;–;–
CRS3035RES100mN3257800E4553300;4553350;3257850;14;4;5;3;3;–;3
CRS3035RES100mN3257800E4553400;4553450;3257850;12;3;–;3;–;–;–
CRS3035RES100mN3257800E4553500;4553550;3257850;7;3;3;–;–;–;–
CRS3035RES100mN3257800E4553600;4553650;3257850;4;–;–;–;–;–;–
CRS3035RES100mN3257800E4569000;4569050;3257850;17;7;–;–;6;3;–
CRS3035RES100mN3257800E4569300;4569350;3257850;8;3;3;–;–;–;–
CRS3035RES100mN3257800E4569400;4569450;3257850;24;15;3;3;3;–;3
CRS3035RES100mN3257800E4572500;4572550;3257850;3;–;–;–;–;–;–
CRS3035RES100mN3257900E4533900;4533950;3257950;9;–;–;–;–;–;–
CRS3035RES100mN3257900E4534000;4534050;3257950;8;3;3;3;–;–;–
CRS3035RES100mN3257900E4551700;4551750;3257950;15;8;4;–;3;–;–
CRS3035RES100mN3257900E4551800;4551850;3257950;16;4;4;–;3;–;–
CRS3035RES100mN3257900E4551900;4551950;3257950;10;–;7;–;3;–;–
CRS3035RES100mN3257900E4552000;4552050;3257950;23;7;9;4;–;–;–
CRS3035RES100mN3257900E4552100;4552150;3257950;10;3;5;3;–;–;–
CRS3035RES100mN3257900E4552200;4552250;3257950;74;44;15;6;3;–;–
CRS3035RES100mN3257900E4552400;4552450;3257950;33;15;8;4;4;–;–
CRS3035RES100mN3257900E4552500;4552550;3257950;29;9;8;3;6;3;–
CRS3035RES100mN3257900E4552600;4552650;3257950;27;16;8;3;3;–;–
CRS3035RES100mN3257900E4552700;4552750;3257950;19;4;7;4;6;–;–
CRS3035RES100mN3257900E4552800;4552850;3257950;17;3;3;–;4;–;–
CRS3035RES100mN3257900E4552900;4552950;3257950;16;8;5;3;3;–;–
CRS3035RES100mN3257900E4553000;4553050;3257950;10;3;–;3;5;–;–
CRS3035RES100mN3257900E4553200;4553250;3257950;133;122;9;–;–;–;–
CRS3035RES100mN3257900E4553300;4553350;3257950;11;3;4;–;–;–;–
CRS3035RES100mN3257900E4553400;4553450;3257950;21;11;5;–;3;3;–
CRS3035RES100mN3257900E4553500;4553550;3257950;25;13;12;–;7;–;–
CRS3035RES100mN3257900E4553600;4553650;3257950;19;5;8;–;3;–;–
CRS3035RES100mN3257900E4553700;4553750;3257950;15;3;5;4;–;–;–
CRS3035RES100mN3257900E4553800;4553850;3257950;11;3;5;–;3;–;–
CRS3035RES100mN3257900E4553900;4553950;3257950;20;10;4;–;3;–;–
CRS3035RES100mN3257900E4569000;4569050;3257950;8;–;–;–;–;–;–
CRS3035RES100mN3257900E4569300;4569350;3257950;16;6;6;–;–;–;–
CRS3035RES100mN3257900E4569400;4569450;3257950;10;5;3;3;–;3;–
CRS3035RES100mN3257900E4569800;4569850;3257950;7;6;3;–;–;–;–
CRS3035RES100mN3258000E4533900;4533950;3258050;12;7;3;–;–;–;4
CRS3035RES100mN3258000E4551600;4551650;3258050;18;6;5;3;4;3;–
CRS3035RES100mN3258000E4551700;4551750;3258050;12;4;3;3;3;–;3
CRS3035RES100mN3258000E4551800;4551850;3258050;20;6;9;3;3;–;–
CRS3035RES100mN3258000E4551900;4551950;3258050;17;–;14;3;–;–;–
CRS3035RES100mN3258000E4552000;4552050;3258050;21;8;13;–;3;–;–
CRS3035RES100mN3258000E4552100;4552150;3258050;24;16;7;–;3;–;–
CRS3035RES100mN3258000E4552200;4552250;3258050;73;39;17;11;4;–;3
CRS3035RES100mN3258000E4552300;4552350;3258050;5;–;5;–;3;–;–
CRS3035RES100mN3258000E4552400;4552450;3258050;13;4;7;3;–;–;–
CRS3035RES100mN3258000E4552500;4552550;3258050;14;4;5;–;–;–;–
CRS3035RES100mN3258000E4552600;4552650;3258050;19;4;5;5;3;–;–
CRS3035RES100mN3258000E4552700;4552750;3258050;24;10;10;3;3;3;–
CRS3035RES100mN3258000E4552800;4552850;3258050;24;9;6;3;4;–;–
CRS3035RES100mN3258000E4552900;4552950;3258050;18;7;5;3;4;–;–
CRS3035RES100mN3258000E4553000;4553050;3258050;5;3;3;–;–;–;–
CRS3035RES100mN3258000E4553200;4553250;3258050;24;13;7;3;–;–;–
CRS3035RES100mN3258000E4553300;4553350;3258050;23;9;7;4;3;3;3
CRS3035RES100mN3258000E4553400;4553450;3258050;24;9;12;–;3;3;–
CRS3035RES100mN3258000E4553500;4553550;3258050;8;4;4;–;3;–;–
CRS3035RES100mN3258000E4553600;4553650;3258050;10;4;–;3;–;–;3
CRS3035RES100mN3258000E4553700;4553750;3258050;15;6;–;3;5;–;–
CRS3035RES100mN3258000E4553800;4553850;3258050;21;5;7;4;8;–;–
CRS3035RES100mN3258000E4553900;4553950;3258050;17;3;8;3;3;–;–
CRS3035RES100mN3258000E4554000;4554050;3258050;16;6;8;3;3;–;–
CRS3035RES100mN3258000E4569300;4569350;3258050;3;–;3;–;–;–;–
CRS3035RES100mN3258000E4569400;4569450;3258050;14;4;6;–;3;–;3
CRS3035RES100mN3258000E4569500;4569550;3258050;46;21;10;5;–;–;–
CRS3035RES100mN3258000E4569600;4569650;3258050;9;4;3;–;–;–;–
CRS3035RES100mN3258000E4570000;4570050;3258050;3;–;–;–;–;–;–
CRS3035RES100mN3258100E4551600;4551650;3258150;16;4;9;–;–;–;–
CRS3035RES100mN3258100E4551700;4551750;3258150;5;–;–;–;–;–;–
CRS3035RES100mN3258100E4551800;4551850;3258150;10;3;3;3;–;–;–
CRS3035RES100mN3258100E4551900;4551950;3258150;21;13;3;3;–;–;–
CRS3035RES100mN3258100E4552000;4552050;3258150;18;7;6;3;–;–;–
CRS3035RES100mN3258100E4552100;4552150;3258150;53;38;10;3;3;–;–
CRS3035RES100mN3258100E4552200;4552250;3258150;32;21;7;–;–;–;–
CRS3035RES100mN3258100E4552400;4552450;3258150;17;11;5;–;3;–;–
CRS3035RES100mN3258100E4552500;4552550;3258150;15;3;7;–;3;–;–
CRS3035RES100mN3258100E4552600;4552650;3258150;9;3;4;–;3;–;–
CRS3035RES100mN3258100E4552700;4552750;3258150;17;4;4;5;3;–;–
CRS3035RES100mN3258100E4552800;4552850;3258150;5;–;4;3;–;–;–
CRS3035RES100mN3258100E4552900;4552950;3258150;14;–;7;3;4;3;–
CRS3035RES100mN3258100E4553000;4553050;3258150;4;–;–;–;–;–;–
CRS3035RES100mN3258100E4553100;4553150;3258150;7;3;–;–;3;–;–
CRS3035RES100mN3258100E4553200;4553250;3258150;35;20;6;–;5;–;–
CRS3035RES100mN3258100E4553300;4553350;3258150;16;5;5;3;–;3;–
CRS3035RES100mN3258100E4553400;4553450;3258150;22;7;9;3;3;–;–
CRS3035RES100mN3258100E4553500;4553550;3258150;25;10;8;7;3;–;–
CRS3035RES100mN3258100E4553600;4553650;3258150;19;8;5;3;4;–;–
CRS3035RES100mN3258100E4553700;4553750;3258150;17;7;5;6;–;–;–
CRS3035RES100mN3258100E4553800;4553850;3258150;16;4;8;4;3;–;–
CRS3035RES100mN3258100E4553900;4553950;3258150;19;8;9;3;3;–;–
CRS3035RES100mN3258100E4554000;4554050;3258150;19;9;6;6;–;3;–
CRS3035RES100mN3258100E4566800;4566850;3258150;16;4;6;–;3;–;–
CRS3035RES100mN3258100E4566900;4566950;3258150;4;–;–;–;–;–;–
CRS3035RES100mN3258100E4569000;4569050;3258150;5;3;–;–;–;–;–
CRS3035RES100mN3258100E4569100;4569150;3258150;5;3;3;–;–;–;–
CRS3035RES100mN3258100E4569200;4569250;3258150;14;9;3;6;–;–;–
CRS3035RES100mN3258100E4569300;4569350;3258150;8;–;3;–;–;–;–
CRS3035RES100mN3258100E4569400;4569450;3258150;6;–;5;–;–;–;–
CRS3035RES100mN3258100E4569500;4569550;3258150;15;9;6;–;3;–;–
CRS3035RES100mN3258100E4569600;4569650;3258150;4;3;–;–;–;–;–
CRS3035RES100mN3258100E4572600;4572650;3258150;4;3;5;–;–;–;–
CRS3035RES100mN3258100E4572700;4572750;3258150;8;3;4;3;–;–;–
CRS3035RES100mN3258200E4551600;4551650;3258250;16;7;5;–;3;–;3
CRS3035RES100mN3258200E4551700;4551750;3258250;38;25;4;3;–;–;–
CRS3035RES100mN3258200E4551800;4551850;3258250;24;10;5;–;3;3;3
CRS3035RES100mN3258200E4551900;4551950;3258250;33;14;14;3;–;–;3
CRS3035RES100mN3258200E4552000;4552050;3258250;13;3;6;3;–;–;–
CRS3035RES100mN3258200E4552100;4552150;3258250;76;37;26;12;3;–;3
CRS3035RES100mN3258200E4552300;4552350;3258250;9;–;–;3;3;–;–
CRS3035RES100mN3258200E4552400;4552450;3258250;17;8;8;3;–;–;–
CRS3035RES100mN3258200E4552500;4552550;3258250;19;7;4;4;3;–;–
CRS3035RES100mN3258200E4552600;4552650;3258250;28;12;6;3;–;3;–
CRS3035RES100mN3258200E4552700;4552750;3258250;18;9;6;3;–;–;–
CRS3035RES100mN3258200E4553000;4553050;3258250;17;7;6;–;3;–;–
CRS3035RES100mN3258200E4553100;4553150;3258250;54;31;14;4;–;–;–
CRS3035RES100mN3258200E4553200;4553250;3258250;23;10;5;4;5;–;–
CRS3035RES100mN3258200E4553300;4553350;3258250;11;4;3;–;–;–;–
CRS3035RES100mN3258200E4553400;4553450;3258250;15;3;3;3;3;–;–
