GITTER_ID_100m;x_mp_100m;y_mp_100m;Durchschnittsalter;werterlaeuternde_Zeichen
CRS3035RES100mN3257700E4553000;4553050;3257750;4888;NA
CRS3035RES100mN3257700E4553100;4553150;3257750;4137;NA
CRS3035RES100mN3257700E4569000;4569050;3257750;5993;NA
CRS3035RES100mN3257700E4569400;4569450;3257750;4250;NA
CRS3035RES100mN3257700E4572400;4572450;3257750;5795;NA
CRS3035RES100mN3257800E4534000;4534050;3257850;3871;NA
CRS3035RES100mN3257800E4551800;4551850;3257850;4239;NA
CRS3035RES100mN3257800E4551900;4551950;3257850;4346;NA
CRS3035RES100mN3257800E4552000;4552050;3257850;6909;NA
CRS3035RES100mN3257800E4552100;4552150;3257850;4824;NA
CRS3035RES100mN3257800E4552200;4552250;3257850;5554;NA
CRS3035RES100mN3257800E4552300;4552350;3257850;4506;NA
CRS3035RES100mN3257800E4552400;4552450;3257850;5416;NA
CRS3035RES100mN3257800E4552500;4552550;3257850;4621;NA
CRS3035RES100mN3257800E4552600;4552650;3257850;4510;NA
CRS3035RES100mN3257800E4552700;4552750;3257850;5413;NA
CRS3035RES100mN3257800E4552800;4552850;3257850;3817;NA
CRS3035RES100mN3257800E4552900;4552950;3257850;4085;NA
CRS3035RES100mN3257800E4553000;4553050;3257850;4506;NA
CRS3035RES100mN3257800E4553100;4553150;3257850;4363;NA
CRS3035RES100mN3257800E4553200;4553250;3257850;7356;NA
CRS3035RES100mN3257800E4553300;4553350;3257850;4912;NA
CRS3035RES100mN3257800E4553400;4553450;3257850;3625;NA
CRS3035RES100mN3257800E4553500;4553550;3257850;4119;NA
CRS3035RES100mN3257800E4553600;4553650;3257850;3858;NA
CRS3035RES100mN3257800E4569000;4569050;3257850;3089;NA
CRS3035RES100mN3257800E4569300;4569350;3257850;7362;NA
CRS3035RES100mN3257800E4569400;4569450;3257850;4528;NA
CRS3035RES100mN3257800E4572500;4572550;3257850;4111;NA
CRS3035RES100mN3257900E4533900;4533950;3257950;4380;NA
CRS3035RES100mN3257900E4534000;4534050;3257950;5465;NA
CRS3035RES100mN3257900E4551700;4551750;3257950;5371;NA
CRS3035RES100mN3257900E4551800;4551850;3257950;4103;NA
CRS3035RES100mN3257900E4551900;4551950;3257950;6073;NA
CRS3035RES100mN3257900E4552000;4552050;3257950;5029;NA
CRS3035RES100mN3257900E4552100;4552150;3257950;5263;NA
CRS3035RES100mN3257900E4552200;4552250;3257950;4367;NA
CRS3035RES100mN3257900E4552400;4552450;3257950;4921;NA
CRS3035RES100mN3257900E4552500;4552550;3257950;4516;NA
CRS3035RES100mN3257900E4552600;4552650;3257950;5243;NA
CRS3035RES100mN3257900E4552700;4552750;3257950;3495;NA
CRS3035RES100mN3257900E4552800;4552850;3257950;4335;NA
CRS3035RES100mN3257900E4552900;4552950;3257950;5286;NA
CRS3035RES100mN3257900E4553000;4553050;3257950;4008;NA
CRS3035RES100mN3257900E4553100;4553150;3257950;8361;NA
CRS3035RES100mN3257900E4553200;4553250;3257950;7523;NA
CRS3035RES100mN3257900E4553300;4553350;3257950;4906;NA
CRS3035RES100mN3257900E4553400;4553450;3257950;5037;NA
CRS3035RES100mN3257900E4553500;4553550;3257950;4856;NA
CRS3035RES100mN3257900E4553600;4553650;3257950;5005;NA
CRS3035RES100mN3257900E4553700;4553750;3257950;5116;NA
CRS3035RES100mN3257900E4553800;4553850;3257950;5265;NA
CRS3035RES100mN3257900E4553900;4553950;3257950;5094;NA
CRS3035RES100mN3257900E4569000;4569050;3257950;4461;NA
CRS3035RES100mN3257900E4569300;4569350;3257950;4481;NA
CRS3035RES100mN3257900E4569400;4569450;3257950;4057;NA
CRS3035RES100mN3257900E4569700;4569750;3257950;7210;NA
CRS3035RES100mN3257900E4569800;4569850;3257950;4321;NA
CRS3035RES100mN3258000E4533900;4533950;3258050;4574;NA
CRS3035RES100mN3258000E4551600;4551650;3258050;3909;NA
CRS3035RES100mN3258000E4551700;4551750;3258050;4352;NA
CRS3035RES100mN3258000E4551800;4551850;3258050;4583;NA
CRS3035RES100mN3258000E4551900;4551950;3258050;5478;NA
CRS3035RES100mN3258000E4552000;4552050;3258050;5461;NA
CRS3035RES100mN3258000E4552100;4552150;3258050;5037;NA
CRS3035RES100mN3258000E4552200;4552250;3258050;3992;NA
CRS3035RES100mN3258000E4552300;4552350;3258050;3941;NA
CRS3035RES100mN3258000E4552400;4552450;3258050;5574;NA
CRS3035RES100mN3258000E4552500;4552550;3258050;4837;NA
CRS3035RES100mN3258000E4552600;4552650;3258050;4386;NA
CRS3035RES100mN3258000E4552700;4552750;3258050;5039;NA
CRS3035RES100mN3258000E4552800;4552850;3258050;4835;NA
CRS3035RES100mN3258000E4552900;4552950;3258050;4506;NA
CRS3035RES100mN3258000E4553000;4553050;3258050;4927;NA
CRS3035RES100mN3258000E4553200;4553250;3258050;5547;NA
CRS3035RES100mN3258000E4553300;4553350;3258050;4012;NA
CRS3035RES100mN3258000E4553400;4553450;3258050;5330;NA
CRS3035RES100mN3258000E4553500;4553550;3258050;4822;NA
CRS3035RES100mN3258000E4553600;4553650;3258050;4144;NA
CRS3035RES100mN3258000E4553700;4553750;3258050;4824;NA
CRS3035RES100mN3258000E4553800;4553850;3258050;4078;NA
CRS3035RES100mN3258000E4553900;4553950;3258050;4304;NA
CRS3035RES100mN3258000E4554000;4554050;3258050;5250;NA
CRS3035RES100mN3258000E4569300;4569350;3258050;5749;NA
CRS3035RES100mN3258000E4569400;4569450;3258050;4224;NA
CRS3035RES100mN3258000E4569500;4569550;3258050;4181;NA
CRS3035RES100mN3258000E4569600;4569650;3258050;6490;NA
CRS3035RES100mN3258000E4569900;4569950;3258050;6535;NA
CRS3035RES100mN3258000E4570000;4570050;3258050;3994;NA
CRS3035RES100mN3258100E4551600;4551650;3258150;5005;NA
CRS3035RES100mN3258100E4551700;4551750;3258150;3229;NA
CRS3035RES100mN3258100E4551800;4551850;3258150;4807;NA
CRS3035RES100mN3258100E4551900;4551950;3258150;5474;NA
CRS3035RES100mN3258100E4552000;4552050;3258150;5461;NA
CRS3035RES100mN3258100E4552100;4552150;3258150;4249;NA
CRS3035RES100mN3258100E4552200;4552250;3258150;5170;NA
CRS3035RES100mN3258100E4552400;4552450;3258150;4784;NA
CRS3035RES100mN3258100E4552500;4552550;3258150;3671;NA
CRS3035RES100mN3258100E4552600;4552650;3258150;5167;NA
CRS3035RES100mN3258100E4552700;4552750;3258150;4144;NA
CRS3035RES100mN3258100E4552800;4552850;3258150;3741;NA
CRS3035RES100mN3258100E4552900;4552950;3258150;4739;NA
CRS3035RES100mN3258100E4553000;4553050;3258150;6324;NA
CRS3035RES100mN3258100E4553100;4553150;3258150;4940;NA
CRS3035RES100mN3258100E4553200;4553250;3258150;4496;NA
CRS3035RES100mN3258100E4553300;4553350;3258150;4019;NA
CRS3035RES100mN3258100E4553400;4553450;3258150;5303;NA
CRS3035RES100mN3258100E4553500;4553550;3258150;5222;NA
CRS3035RES100mN3258100E4553600;4553650;3258150;4702;NA
CRS3035RES100mN3258100E4553700;4553750;3258150;5133;NA
CRS3035RES100mN3258100E4553800;4553850;3258150;4662;NA
CRS3035RES100mN3258100E4553900;4553950;3258150;5361;NA
CRS3035RES100mN3258100E4554000;4554050;3258150;4741;NA
CRS3035RES100mN3258100E4566800;4566850;3258150;4047;NA
CRS3035RES100mN3258100E4566900;4566950;3258150;3686;NA
CRS3035RES100mN3258100E4569000;4569050;3258150;6597;NA
CRS3035RES100mN3258100E4569100;4569150;3258150;4929;NA
CRS3035RES100mN3258100E4569200;4569250;3258150;4082;NA
CRS3035RES100mN3258100E4569300;4569350;3258150;5838;NA
CRS3035RES100mN3258100E4569400;4569450;3258150;5825;NA
CRS3035RES100mN3258100E4569500;4569550;3258150;4072;NA
CRS3035RES100mN3258100E4569600;4569650;3258150;5311;NA
CRS3035RES100mN3258100E4569900;4569950;3258150;2906;NA
CRS3035RES100mN3258100E4572600;4572650;3258150;5466;NA
CRS3035RES100mN3258100E4572700;4572750;3258150;4912;NA
CRS3035RES100mN3258200E4551600;4551650;3258250;3912;NA
CRS3035RES100mN3258200E4551700;4551750;3258250;4898;NA
CRS3035RES100mN3258200E4551800;4551850;3258250;4346;NA
CRS3035RES100mN3258200E4551900;4551950;3258250;5131;NA
CRS3035RES100mN3258200E4552000;4552050;3258250;4548;NA
CRS3035RES100mN3258200E4552100;4552150;3258250;3924;NA
CRS3035RES100mN3258200E4552300;4552350;3258250;4884;NA
CRS3035RES100mN3258200E4552400;4552450;3258250;4481;NA
CRS3035RES100mN3258200E4552500;4552550;3258250;3910;NA
CRS3035RES100mN3258200E4552600;4552650;3258250;4012;NA
CRS3035RES100mN3258200E4552700;4552750;3258250;4979;NA
CRS3035RES100mN3258200E4553000;4553050;3258250;5398;NA
CRS3035RES100mN3258200E4553100;4553150;3258250;4258;NA
CRS3035RES100mN3258200E4553200;4553250;3258250;3647;NA
CRS3035RES100mN3258200E4553300;4553350;3258250;3548;NA
CRS3035RES100mN3258200E4553400;4553450;3258250;4595;NA
CRS3035RES100mN3258200E4553500;4553550;3258250;4407;NA
CRS3035RES100mN3258200E4553600;4553650;3258250;4598;NA
CRS3035RES100mN3258200E4553700;4553750;3258250;5200;NA
CRS3035RES100mN3258200E4553800;4553850;3258250;4778;NA
CRS3035RES100mN3258200E4553900;4553950;3258250;4870;NA
CRS3035RES100mN3258200E4554000;4554050;3258250;4733;NA
CRS3035RES100mN3258200E4566800;4566850;3258250;3537;NA
CRS3035RES100mN3258200E4566900;4566950;3258250;5067;NA
CRS3035RES100mN3258200E4567000;4567050;3258250;7691;NA
CRS3035RES100mN3258200E4569000;4569050;3258250;6156;NA
CRS3035RES100mN3258200E4569100;4569150;3258250;3902;NA
CRS3035RES100mN3258200E4569200;4569250;3258250;4478;NA
CRS3035RES100mN3258200E4569300;4569350;3258250;4921;NA
CRS3035RES100mN3258200E4569400;4569450;3258250;4474;NA
CRS3035RES100mN3258200E4569500;4569550;3258250;5419;NA
CRS3035RES100mN3258200E4572600;4572650;3258250;4205;NA
CRS3035RES100mN3258200E4572700;4572750;3258250;4150;NA
CRS3035RES100mN3258300E4551600;4551650;3258350;4937;NA
CRS3035RES100mN3258300E4551700;4551750;3258350;5018;NA
CRS3035RES100mN3258300E4551800;4551850;3258350;5498;NA
CRS3035RES100mN3258300E4551900;4551950;3258350;4275;NA
