GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter18;a18bis29;a30bis49;a50bis64;a65undaelter
CRS3035RES100mN3265600E4559000;4559050;3265650;41;–;6;11;16;15
CRS3035RES100mN3265600E4559200;4559250;3265650;51;7;3;17;11;15
CRS3035RES100mN3265600E4559300;4559350;3265650;107;11;23;36;16;16
CRS3035RES100mN3265600E4559500;4559550;3265650;16;4;–;4;7;–
CRS3035RES100mN3265600E4559600;4559650;3265650;98;7;5;19;39;26
CRS3035RES100mN3265600E4559700;4559750;3265650;56;4;13;7;20;12
CRS3035RES100mN3265600E4559800;4559850;3265650;82;9;11;15;16;30
CRS3035RES100mN3265600E4559900;4559950;3265650;166;24;25;73;25;19
CRS3035RES100mN3265600E4560000;4560050;3265650;6;–;3;–;–;–
CRS3035RES100mN3265600E4561000;4561050;3265650;6;3;–;4;–;3
CRS3035RES100mN3265600E4561100;4561150;3265650;13;–;4;3;–;6
CRS3035RES100mN3265600E4561200;4561250;3265650;13;3;3;3;4;3
CRS3035RES100mN3265600E4561300;4561350;3265650;7;–;–;–;5;3
CRS3035RES100mN3265600E4562400;4562450;3265650;11;–;–;3;7;3
CRS3035RES100mN3265600E4562500;4562550;3265650;37;8;4;7;11;3
CRS3035RES100mN3265600E4562600;4562650;3265650;36;11;4;9;9;3
CRS3035RES100mN3265600E4562700;4562750;3265650;15;3;–;3;–;3
CRS3035RES100mN3265600E4562800;4562850;3265650;15;7;4;–;–;–
CRS3035RES100mN3265600E4563100;4563150;3265650;38;15;3;13;7;3
CRS3035RES100mN3265600E4563200;4563250;3265650;151;19;19;40;35;35
CRS3035RES100mN3265600E4563300;4563350;3265650;182;33;17;70;31;32
CRS3035RES100mN3265600E4563400;4563450;3265650;103;16;9;37;26;15
CRS3035RES100mN3265600E4563500;4563550;3265650;182;38;25;86;25;13
CRS3035RES100mN3265600E4563600;4563650;3265650;157;29;15;52;35;24
CRS3035RES100mN3265600E4563900;4563950;3265650;43;9;3;16;5;9
CRS3035RES100mN3265600E4564000;4564050;3265650;25;3;–;10;8;3
CRS3035RES100mN3265600E4564100;4564150;3265650;75;20;–;26;11;15
CRS3035RES100mN3265600E4564200;4564250;3265650;99;13;11;37;24;19
CRS3035RES100mN3265600E4564900;4564950;3265650;86;15;6;19;13;35
CRS3035RES100mN3265600E4565000;4565050;3265650;289;24;22;51;59;134
CRS3035RES100mN3265600E4565200;4565250;3265650;365;171;82;77;19;16
CRS3035RES100mN3265600E4565300;4565350;3265650;90;28;8;21;15;20
CRS3035RES100mN3265600E4565500;4565550;3265650;16;–;3;–;13;7
CRS3035RES100mN3265600E4565600;4565650;3265650;20;3;–;4;3;11
CRS3035RES100mN3265600E4565700;4565750;3265650;9;–;–;–;–;–
CRS3035RES100mN3265600E4565800;4565850;3265650;9;–;–;–;–;8
CRS3035RES100mN3265600E4565900;4565950;3265650;5;–;–;–;3;5
CRS3035RES100mN3265600E4566800;4566850;3265650;26;–;4;4;11;7
CRS3035RES100mN3265600E4566900;4566950;3265650;13;3;–;4;3;–
CRS3035RES100mN3265600E4567500;4567550;3265650;14;3;3;–;9;–
CRS3035RES100mN3265600E4567600;4567650;3265650;109;14;7;40;19;20
CRS3035RES100mN3265600E4571500;4571550;3265650;23;3;3;10;6;8
CRS3035RES100mN3265600E4571600;4571650;3265650;4;–;–;–;3;3
CRS3035RES100mN3265600E4571700;4571750;3265650;50;10;3;14;11;17
CRS3035RES100mN3265600E4571800;4571850;3265650;39;7;6;8;8;7
CRS3035RES100mN3265600E4571900;4571950;3265650;20;–;3;4;8;4
CRS3035RES100mN3265600E4572000;4572050;3265650;27;–;4;–;4;13
CRS3035RES100mN3265600E4572100;4572150;3265650;30;7;3;8;5;10
CRS3035RES100mN3265600E4572200;4572250;3265650;27;7;–;9;3;9
CRS3035RES100mN3265600E4572300;4572350;3265650;25;–;3;3;9;10
CRS3035RES100mN3265600E4572400;4572450;3265650;22;3;3;3;8;9
CRS3035RES100mN3265600E4572500;4572550;3265650;37;8;3;13;10;3
CRS3035RES100mN3265600E4572600;4572650;3265650;26;–;3;6;11;10
CRS3035RES100mN3265600E4572700;4572750;3265650;16;3;–;3;5;11
CRS3035RES100mN3265600E4572800;4572850;3265650;36;13;–;10;9;9
CRS3035RES100mN3265600E4572900;4572950;3265650;27;3;3;3;11;12
CRS3035RES100mN3265600E4573000;4573050;3265650;22;3;–;7;4;11
CRS3035RES100mN3265600E4573100;4573150;3265650;25;8;3;3;4;8
CRS3035RES100mN3265600E4573200;4573250;3265650;31;6;–;13;7;7
CRS3035RES100mN3265600E4573300;4573350;3265650;25;–;3;3;14;3
CRS3035RES100mN3265600E4573400;4573450;3265650;7;–;–;–;–;7
CRS3035RES100mN3265600E4576200;4576250;3265650;19;4;–;7;6;5
CRS3035RES100mN3265700E4532900;4532950;3265750;8;–;4;–;4;3
CRS3035RES100mN3265700E4533000;4533050;3265750;14;–;–;3;3;9
CRS3035RES100mN3265700E4533100;4533150;3265750;18;3;–;6;3;9
CRS3035RES100mN3265700E4533200;4533250;3265750;21;3;3;3;4;9
CRS3035RES100mN3265700E4533300;4533350;3265750;35;7;–;5;13;12
CRS3035RES100mN3265700E4533400;4533450;3265750;21;4;–;4;4;9
CRS3035RES100mN3265700E4533500;4533550;3265750;23;3;–;5;6;7
CRS3035RES100mN3265700E4533600;4533650;3265750;22;–;3;–;5;14
CRS3035RES100mN3265700E4533700;4533750;3265750;28;5;3;6;7;7
CRS3035RES100mN3265700E4533800;4533850;3265750;30;–;–;6;11;12
CRS3035RES100mN3265700E4533900;4533950;3265750;16;–;–;6;3;3
CRS3035RES100mN3265700E4535000;4535050;3265750;26;–;3;3;9;12
CRS3035RES100mN3265700E4535100;4535150;3265750;40;4;–;3;13;19
CRS3035RES100mN3265700E4535200;4535250;3265750;32;5;5;7;7;6
CRS3035RES100mN3265700E4535300;4535350;3265750;27;8;–;12;3;8
CRS3035RES100mN3265700E4535400;4535450;3265750;17;–;6;4;3;–
CRS3035RES100mN3265700E4542900;4542950;3265750;44;15;6;6;10;6
CRS3035RES100mN3265700E4543000;4543050;3265750;70;14;8;21;15;11
CRS3035RES100mN3265700E4543100;4543150;3265750;90;22;12;25;21;11
CRS3035RES100mN3265700E4543200;4543250;3265750;141;35;31;31;41;7
CRS3035RES100mN3265700E4543500;4543550;3265750;9;–;–;3;3;–
CRS3035RES100mN3265700E4543600;4543650;3265750;9;–;–;–;3;4
CRS3035RES100mN3265700E4543700;4543750;3265750;24;5;5;8;3;3
CRS3035RES100mN3265700E4543800;4543850;3265750;8;4;–;3;3;–
CRS3035RES100mN3265700E4543900;4543950;3265750;11;–;3;–;6;3
CRS3035RES100mN3265700E4544100;4544150;3265750;25;7;3;3;7;8
CRS3035RES100mN3265700E4544200;4544250;3265750;13;3;–;3;5;4
CRS3035RES100mN3265700E4544300;4544350;3265750;43;10;3;10;11;13
CRS3035RES100mN3265700E4544400;4544450;3265750;30;6;6;5;9;7
CRS3035RES100mN3265700E4544500;4544550;3265750;20;4;3;3;4;4
CRS3035RES100mN3265700E4545900;4545950;3265750;21;4;4;5;6;–
CRS3035RES100mN3265700E4546000;4546050;3265750;57;6;–;15;23;12
CRS3035RES100mN3265700E4546100;4546150;3265750;17;–;3;4;9;4
CRS3035RES100mN3265700E4546200;4546250;3265750;47;7;5;9;12;12
CRS3035RES100mN3265700E4546300;4546350;3265750;76;7;14;14;18;25
CRS3035RES100mN3265700E4546400;4546450;3265750;16;6;3;3;5;–
CRS3035RES100mN3265700E4546700;4546750;3265750;123;16;21;49;18;25
CRS3035RES100mN3265700E4546800;4546850;3265750;140;26;25;47;24;21
CRS3035RES100mN3265700E4546900;4546950;3265750;109;16;13;37;26;16
CRS3035RES100mN3265700E4547000;4547050;3265750;160;30;34;49;23;25
CRS3035RES100mN3265700E4547100;4547150;3265750;178;33;32;52;43;22
CRS3035RES100mN3265700E4547200;4547250;3265750;116;8;25;36;18;29
CRS3035RES100mN3265700E4547300;4547350;3265750;112;8;18;21;19;42
CRS3035RES100mN3265700E4547400;4547450;3265750;72;10;8;18;10;25
CRS3035RES100mN3265700E4547500;4547550;3265750;137;10;22;42;30;34
CRS3035RES100mN3265700E4547600;4547650;3265750;135;20;14;40;27;32
CRS3035RES100mN3265700E4547700;4547750;3265750;151;25;19;40;33;34
CRS3035RES100mN3265700E4547800;4547850;3265750;92;20;15;29;14;16
CRS3035RES100mN3265700E4548500;4548550;3265750;68;14;23;21;7;4
CRS3035RES100mN3265700E4548600;4548650;3265750;36;5;3;5;11;16
CRS3035RES100mN3265700E4548700;4548750;3265750;63;7;9;16;15;23
CRS3035RES100mN3265700E4548800;4548850;3265750;108;18;8;22;30;29
CRS3035RES100mN3265700E4548900;4548950;3265750;179;39;27;49;29;37
CRS3035RES100mN3265700E4549000;4549050;3265750;35;4;3;6;12;4
CRS3035RES100mN3265700E4549300;4549350;3265750;4;–;–;–;3;3
CRS3035RES100mN3265700E4549600;4549650;3265750;3;–;–;–;3;–
CRS3035RES100mN3265700E4549700;4549750;3265750;4;–;–;–;–;–
CRS3035RES100mN3265700E4550100;4550150;3265750;132;11;21;30;25;46
CRS3035RES100mN3265700E4550200;4550250;3265750;87;23;6;31;16;6
CRS3035RES100mN3265700E4550300;4550350;3265750;128;16;29;48;19;10
CRS3035RES100mN3265700E4550400;4550450;3265750;161;27;15;48;35;40
CRS3035RES100mN3265700E4550500;4550550;3265750;21;3;3;4;5;12
CRS3035RES100mN3265700E4550800;4550850;3265750;73;7;16;18;21;12
CRS3035RES100mN3265700E4550900;4550950;3265750;179;66;38;38;23;15
CRS3035RES100mN3265700E4551000;4551050;3265750;109;29;12;27;30;9
CRS3035RES100mN3265700E4551100;4551150;3265750;115;21;7;35;23;30
CRS3035RES100mN3265700E4551200;4551250;3265750;65;15;3;20;13;19
CRS3035RES100mN3265700E4554300;4554350;3265750;139;–;19;58;36;20
CRS3035RES100mN3265700E4554600;4554650;3265750;85;14;14;23;9;23
CRS3035RES100mN3265700E4554700;4554750;3265750;116;20;6;25;15;51
CRS3035RES100mN3265700E4554800;4554850;3265750;63;3;9;9;5;44
CRS3035RES100mN3265700E4554900;4554950;3265750;135;31;14;28;19;46
CRS3035RES100mN3265700E4555100;4555150;3265750;58;11;4;20;12;9
CRS3035RES100mN3265700E4555200;4555250;3265750;104;8;7;22;26;37
CRS3035RES100mN3265700E4555300;4555350;3265750;100;7;9;27;32;27
CRS3035RES100mN3265700E4555400;4555450;3265750;111;21;29;32;20;15
CRS3035RES100mN3265700E4555500;4555550;3265750;75;13;6;13;21;22
CRS3035RES100mN3265700E4555600;4555650;3265750;172;10;18;39;23;84
CRS3035RES100mN3265700E4556400;4556450;3265750;4;–;–;–;–;–
CRS3035RES100mN3265700E4556500;4556550;3265750;10;–;–;–;–;3
CRS3035RES100mN3265700E4556600;4556650;3265750;11;3;–;–;3;3
CRS3035RES100mN3265700E4556800;4556850;3265750;7;3;–;3;3;3
CRS3035RES100mN3265700E4557000;4557050;3265750;4;–;–;–;–;–
CRS3035RES100mN3265700E4557100;4557150;3265750;27;4;4;7;8;3
CRS3035RES100mN3265700E4557200;4557250;3265750;85;14;7;17;31;16
CRS3035RES100mN3265700E4557300;4557350;3265750;60;14;6;15;18;9
CRS3035RES100mN3265700E4557400;4557450;3265750;29;5;6;6;8;5
CRS3035RES100mN3265700E4557500;4557550;3265750;27;–;3;–;9;13
CRS3035RES100mN3265700E4557600;4557650;3265750;20;–;3;3;7;6
CRS3035RES100mN3265700E4557700;4557750;3265750;22;–;–;3;8;9
CRS3035RES100mN3265700E4557800;4557850;3265750;41;13;5;9;12;7
CRS3035RES100mN3265700E4557900;4557950;3265750;23;–;7;3;10;6
CRS3035RES100mN3265700E4558000;4558050;3265750;6;–;–;3;3;3
CRS3035RES100mN3265700E4558100;4558150;3265750;14;–;–;–;3;9
CRS3035RES100mN3265700E4559000;4559050;3265750;58;10;3;12;22;17
CRS3035RES100mN3265700E4559200;4559250;3265750;39;8;–;7;14;9
CRS3035RES100mN3265700E4559300;4559350;3265750;89;10;23;38;10;9
CRS3035RES100mN3265700E4559400;4559450;3265750;97;17;18;26;19;10
CRS3035RES100mN3265700E4559500;4559550;3265750;7;3;3;3;–;4
CRS3035RES100mN3265700E4559600;4559650;3265750;139;18;22;27;39;31
CRS3035RES100mN3265700E4559700;4559750;3265750;125;10;9;25;29;46
CRS3035RES100mN3265700E4559800;4559850;3265750;131;12;15;51;25;22
CRS3035RES100mN3265700E4559900;4559950;3265750;19;–;5;10;–;3
CRS3035RES100mN3265700E4560800;4560850;3265750;61;5;4;15;10;22
CRS3035RES100mN3265700E4560900;4560950;3265750;76;11;13;27;14;9
CRS3035RES100mN3265700E4561000;4561050;3265750;43;9;3;7;12;14
CRS3035RES100mN3265700E4561100;4561150;3265750;52;12;–;11;7;17
CRS3035RES100mN3265700E4561200;4561250;3265750;29;3;–;5;13;8
CRS3035RES100mN3265700E4561300;4561350;3265750;40;7;–;8;8;18
CRS3035RES100mN3265700E4561400;4561450;3265750;59;10;5;8;25;9
CRS3035RES100mN3265700E4561500;4561550;3265750;32;6;–;8;8;11
CRS3035RES100mN3265700E4561600;4561650;3265750;15;3;–;3;3;8
CRS3035RES100mN3265700E4562500;4562550;3265750;26;3;4;6;9;9
CRS3035RES100mN3265700E4562600;4562650;3265750;29;4;3;8;8;5
CRS3035RES100mN3265700E4562700;4562750;3265750;17;–;–;5;6;7
CRS3035RES100mN3265700E4563000;4563050;3265750;26;11;–;10;6;–
CRS3035RES100mN3265700E4563100;4563150;3265750;36;11;3;9;12;10
CRS3035RES100mN3265700E4563200;4563250;3265750;59;5;5;16;13;25
CRS3035RES100mN3265700E4563300;4563350;3265750;179;20;30;50;37;46
CRS3035RES100mN3265700E4563400;4563450;3265750;87;–;4;21;45;18
CRS3035RES100mN3265700E4563500;4563550;3265750;10;3;–;–;3;–
CRS3035RES100mN3265700E4563600;4563650;3265750;351;75;30;142;66;45
CRS3035RES100mN3265700E4563700;4563750;3265750;3;–;–;–;–;3
CRS3035RES100mN3265700E4563900;4563950;3265750;25;3;3;11;8;–
CRS3035RES100mN3265700E4564000;4564050;3265750;104;15;10;29;30;14
CRS3035RES100mN3265700E4564100;4564150;3265750;99;14;14;42;17;12
CRS3035RES100mN3265700E4564200;4564250;3265750;40;7;4;11;12;7
CRS3035RES100mN3265700E4564400;4564450;3265750;42;–;–;–;15;27
CRS3035RES100mN3265700E4564500;4564550;3265750;23;–;–;3;9;11
CRS3035RES100mN3265700E4564900;4564950;3265750;21;–;6;6;5;4
CRS3035RES100mN3265700E4565000;4565050;3265750;103;21;5;18;17;37
CRS3035RES100mN3265700E4565100;4565150;3265750;168;24;12;36;27;65
CRS3035RES100mN3265700E4565200;4565250;3265750;144;37;16;50;16;28
CRS3035RES100mN3265700E4565600;4565650;3265750;12;3;–;5;3;3
CRS3035RES100mN3265700E4566600;4566650;3265750;25;–;–;5;5;6
CRS3035RES100mN3265700E4566700;4566750;3265750;17;3;–;–;10;8
CRS3035RES100mN3265700E4566800;4566850;3265750;71;14;3;29;11;10
CRS3035RES100mN3265700E4566900;4566950;3265750;66;10;8;22;14;11
CRS3035RES100mN3265700E4567000;4567050;3265750;50;11;3;11;15;11
CRS3035RES100mN3265700E4567100;4567150;3265750;26;3;–;3;4;11
CRS3035RES100mN3265700E4567300;4567350;3265750;28;19;3;–;–;4
CRS3035RES100mN3265700E4567400;4567450;3265750;75;15;3;24;14;19
CRS3035RES100mN3265700E4567500;4567550;3265750;37;8;5;10;8;3
CRS3035RES100mN3265700E4567600;4567650;3265750;105;23;5;35;28;15
CRS3035RES100mN3265700E4567700;4567750;3265750;5;–;–;3;3;–
CRS3035RES100mN3265700E4571000;4571050;3265750;3;–;–;–;–;–
CRS3035RES100mN3265700E4571600;4571650;3265750;3;–;–;–;3;3
CRS3035RES100mN3265700E4571700;4571750;3265750;20;–;–;3;10;4
CRS3035RES100mN3265700E4571800;4571850;3265750;27;5;–;8;10;3
CRS3035RES100mN3265700E4571900;4571950;3265750;17;–;–;3;3;7
CRS3035RES100mN3265700E4572000;4572050;3265750;45;12;–;13;9;10
CRS3035RES100mN3265700E4572100;4572150;3265750;14;3;3;3;3;6
CRS3035RES100mN3265700E4572200;4572250;3265750;26;–;5;6;9;6
CRS3035RES100mN3265700E4572300;4572350;3265750;24;–;3;6;6;6
CRS3035RES100mN3265700E4572400;4572450;3265750;24;3;–;3;6;4
CRS3035RES100mN3265700E4572500;4572550;3265750;23;–;–;3;8;11
CRS3035RES100mN3265700E4572600;4572650;3265750;13;3;–;3;4;5
CRS3035RES100mN3265700E4572700;4572750;3265750;38;3;3;6;6;16
CRS3035RES100mN3265700E4572800;4572850;3265750;23;4;–;5;6;11
CRS3035RES100mN3265700E4572900;4572950;3265750;21;–;3;3;9;7
CRS3035RES100mN3265700E4573000;4573050;3265750;19;4;3;3;3;7
CRS3035RES100mN3265700E4573100;4573150;3265750;20;–;–;3;3;12
CRS3035RES100mN3265700E4573200;4573250;3265750;20;–;–;5;–;9
CRS3035RES100mN3265700E4573300;4573350;3265750;31;4;3;7;3;15
CRS3035RES100mN3265700E4573400;4573450;3265750;36;12;–;7;10;8
CRS3035RES100mN3265700E4573500;4573550;3265750;8;–;–;–;–;–
CRS3035RES100mN3265800E4533000;4533050;3265850;13;3;–;3;3;7
CRS3035RES100mN3265800E4533100;4533150;3265850;35;8;–;12;–;12
CRS3035RES100mN3265800E4533200;4533250;3265850;6;–;–;5;3;–
CRS3035RES100mN3265800E4533300;4533350;3265850;23;4;–;5;7;3
CRS3035RES100mN3265800E4533400;4533450;3265850;17;3;–;–;–;7
CRS3035RES100mN3265800E4533500;4533550;3265850;22;6;3;3;4;10
CRS3035RES100mN3265800E4533600;4533650;3265850;26;5;3;3;6;14
CRS3035RES100mN3265800E4533700;4533750;3265850;35;3;5;3;15;13
CRS3035RES100mN3265800E4533800;4533850;3265850;47;11;4;11;11;12
CRS3035RES100mN3265800E4533900;4533950;3265850;26;4;4;3;5;11
CRS3035RES100mN3265800E4535100;4535150;3265850;24;9;3;6;3;9
CRS3035RES100mN3265800E4535200;4535250;3265850;22;10;–;10;–;–
CRS3035RES100mN3265800E4535300;4535350;3265850;30;–;–;–;–;30
CRS3035RES100mN3265800E4542500;4542550;3265850;34;5;4;10;10;10
CRS3035RES100mN3265800E4542600;4542650;3265850;106;25;11;34;15;24
CRS3035RES100mN3265800E4542800;4542850;3265850;82;18;13;22;19;12
CRS3035RES100mN3265800E4542900;4542950;3265850;145;28;16;37;47;26
CRS3035RES100mN3265800E4543000;4543050;3265850;90;23;4;26;29;9
CRS3035RES100mN3265800E4543100;4543150;3265850;69;15;9;9;23;14
CRS3035RES100mN3265800E4543200;4543250;3265850;141;40;12;36;36;16
CRS3035RES100mN3265800E4543300;4543350;3265850;98;24;15;24;22;13
CRS3035RES100mN3265800E4543500;4543550;3265850;7;3;3;–;4;3
CRS3035RES100mN3265800E4543600;4543650;3265850;26;6;4;4;9;3
CRS3035RES100mN3265800E4543700;4543750;3265850;39;8;10;–;9;6
CRS3035RES100mN3265800E4543800;4543850;3265850;38;11;7;8;5;8
CRS3035RES100mN3265800E4543900;4543950;3265850;19;–;–;–;7;8
CRS3035RES100mN3265800E4544000;4544050;3265850;39;9;–;6;5;17
CRS3035RES100mN3265800E4544100;4544150;3265850;47;–;3;9;10;18
CRS3035RES100mN3265800E4544200;4544250;3265850;38;8;3;16;3;11
CRS3035RES100mN3265800E4544300;4544350;3265850;43;12;4;10;3;14
CRS3035RES100mN3265800E4544400;4544450;3265850;25;5;3;4;6;4
CRS3035RES100mN3265800E4544500;4544550;3265850;19;3;5;–;8;6
CRS3035RES100mN3265800E4544600;4544650;3265850;4;–;–;3;3;–
CRS3035RES100mN3265800E4545000;4545050;3265850;10;–;–;4;3;3
CRS3035RES100mN3265800E4545200;4545250;3265850;3;–;–;–;3;–
CRS3035RES100mN3265800E4545300;4545350;3265850;3;–;–;–;3;–
CRS3035RES100mN3265800E4545800;4545850;3265850;12;3;3;8;–;–
CRS3035RES100mN3265800E4545900;4545950;3265850;13;3;–;6;–;3
CRS3035RES100mN3265800E4546000;4546050;3265850;35;6;3;7;5;10
CRS3035RES100mN3265800E4546100;4546150;3265850;11;3;6;3;4;–
CRS3035RES100mN3265800E4546200;4546250;3265850;7;–;–;6;–;–
CRS3035RES100mN3265800E4546300;4546350;3265850;52;9;13;10;13;5
CRS3035RES100mN3265800E4546400;4546450;3265850;30;8;3;7;3;6
CRS3035RES100mN3265800E4546500;4546550;3265850;11;–;4;3;3;4
CRS3035RES100mN3265800E4546600;4546650;3265850;33;–;3;13;8;8
CRS3035RES100mN3265800E4546800;4546850;3265850;143;35;19;46;25;21
CRS3035RES100mN3265800E4546900;4546950;3265850;284;53;36;104;54;43
CRS3035RES100mN3265800E4547000;4547050;3265850;174;31;27;59;24;28
CRS3035RES100mN3265800E4547100;4547150;3265850;95;31;7;28;20;14
CRS3035RES100mN3265800E4547200;4547250;3265850;91;11;8;29;22;22
CRS3035RES100mN3265800E4547300;4547350;3265850;43;3;7;15;10;11
CRS3035RES100mN3265800E4547400;4547450;3265850;75;12;3;32;11;18
CRS3035RES100mN3265800E4547500;4547550;3265850;40;3;–;3;12;22
CRS3035RES100mN3265800E4547600;4547650;3265850;38;–;7;8;9;10
CRS3035RES100mN3265800E4547700;4547750;3265850;103;24;7;34;19;19
CRS3035RES100mN3265800E4548600;4548650;3265850;94;17;12;22;20;28
CRS3035RES100mN3265800E4548700;4548750;3265850;32;6;–;11;5;14
CRS3035RES100mN3265800E4548800;4548850;3265850;85;12;5;28;25;15
CRS3035RES100mN3265800E4548900;4548950;3265850;179;33;21;31;63;27
CRS3035RES100mN3265800E4549000;4549050;3265850;44;–;5;–;21;14
CRS3035RES100mN3265800E4549200;4549250;3265850;4;–;–;–;–;–
CRS3035RES100mN3265800E4549300;4549350;3265850;33;14;3;14;3;3
CRS3035RES100mN3265800E4549800;4549850;3265850;143;8;17;11;34;74
CRS3035RES100mN3265800E4549900;4549950;3265850;31;3;3;6;13;6
CRS3035RES100mN3265800E4550000;4550050;3265850;97;9;16;25;26;31
CRS3035RES100mN3265800E4550100;4550150;3265850;39;3;8;13;10;15
CRS3035RES100mN3265800E4550200;4550250;3265850;179;24;29;51;43;32
CRS3035RES100mN3265800E4550300;4550350;3265850;36;7;7;11;5;5
CRS3035RES100mN3265800E4550400;4550450;3265850;100;14;24;34;12;12
CRS3035RES100mN3265800E4550500;4550550;3265850;147;24;20;41;29;32
CRS3035RES100mN3265800E4550600;4550650;3265850;41;5;3;15;10;8
CRS3035RES100mN3265800E4554300;4554350;3265850;120;27;16;35;22;15
CRS3035RES100mN3265800E4554400;4554450;3265850;32;12;4;13;3;–
CRS3035RES100mN3265800E4554500;4554550;3265850;99;24;14;37;11;9
CRS3035RES100mN3265800E4554600;4554650;3265850;82;8;23;19;14;13
CRS3035RES100mN3265800E4554700;4554750;3265850;157;40;21;41;37;19
CRS3035RES100mN3265800E4554800;4554850;3265850;45;5;9;9;12;11
CRS3035RES100mN3265800E4555000;4555050;3265850;25;4;3;4;7;7
CRS3035RES100mN3265800E4555300;4555350;3265850;10;–;–;–;3;3
CRS3035RES100mN3265800E4555400;4555450;3265850;67;11;11;26;9;11
CRS3035RES100mN3265800E4555500;4555550;3265850;162;28;27;56;35;20
CRS3035RES100mN3265800E4555600;4555650;3265850;146;27;23;22;42;32
CRS3035RES100mN3265800E4556400;4556450;3265850;12;3;3;3;3;4
CRS3035RES100mN3265800E4556600;4556650;3265850;6;–;–;–;–;–
CRS3035RES100mN3265800E4557000;4557050;3265850;5;–;–;–;3;–
CRS3035RES100mN3265800E4557100;4557150;3265850;24;8;–;10;4;–
CRS3035RES100mN3265800E4557200;4557250;3265850;49;8;4;9;20;9
CRS3035RES100mN3265800E4557300;4557350;3265850;88;19;10;29;27;3
CRS3035RES100mN3265800E4557400;4557450;3265850;35;5;4;4;17;5
CRS3035RES100mN3265800E4557500;4557550;3265850;24;9;–;7;4;–
CRS3035RES100mN3265800E4557600;4557650;3265850;32;4;9;3;10;9
CRS3035RES100mN3265800E4557700;4557750;3265850;48;6;13;8;8;9
CRS3035RES100mN3265800E4557800;4557850;3265850;32;7;–;9;6;5
CRS3035RES100mN3265800E4557900;4557950;3265850;31;–;–;7;15;9
CRS3035RES100mN3265800E4558000;4558050;3265850;11;4;–;5;–;4
CRS3035RES100mN3265800E4559000;4559050;3265850;27;5;4;5;11;4
CRS3035RES100mN3265800E4559100;4559150;3265850;60;11;–;9;15;22
CRS3035RES100mN3265800E4559200;4559250;3265850;49;9;4;7;9;21
CRS3035RES100mN3265800E4559300;4559350;3265850;85;7;17;35;16;9
CRS3035RES100mN3265800E4559400;4559450;3265850;42;13;6;12;5;7
CRS3035RES100mN3265800E4559500;4559550;3265850;23;4;–;8;3;6
CRS3035RES100mN3265800E4559600;4559650;3265850;287;46;23;84;67;66
CRS3035RES100mN3265800E4559700;4559750;3265850;169;20;25;44;39;41
CRS3035RES100mN3265800E4559800;4559850;3265850;31;4;7;8;9;5
CRS3035RES100mN3265800E4560200;4560250;3265850;41;–;3;15;10;7
CRS3035RES100mN3265800E4560300;4560350;3265850;33;–;3;4;6;16
CRS3035RES100mN3265800E4560500;4560550;3265850;148;–;–;15;75;56
CRS3035RES100mN3265800E4560700;4560750;3265850;158;9;12;52;36;48
CRS3035RES100mN3265800E4560800;4560850;3265850;99;4;12;22;25;40
CRS3035RES100mN3265800E4560900;4560950;3265850;174;3;33;44;41;57
CRS3035RES100mN3265800E4561000;4561050;3265850;57;9;3;19;15;20
CRS3035RES100mN3265800E4561100;4561150;3265850;31;–;–;–;10;18
CRS3035RES100mN3265800E4561200;4561250;3265850;28;–;3;9;5;14
CRS3035RES100mN3265800E4561300;4561350;3265850;38;4;4;13;10;10
CRS3035RES100mN3265800E4561400;4561450;3265850;40;5;6;9;9;16
CRS3035RES100mN3265800E4561500;4561550;3265850;43;6;3;9;16;9
CRS3035RES100mN3265800E4561600;4561650;3265850;40;8;–;9;10;17
CRS3035RES100mN3265800E4561700;4561750;3265850;4;–;–;3;–;3
CRS3035RES100mN3265800E4562500;4562550;3265850;29;11;3;6;11;4
CRS3035RES100mN3265800E4562600;4562650;3265850;21;3;3;6;4;9
CRS3035RES100mN3265800E4562700;4562750;3265850;25;4;3;4;6;6
CRS3035RES100mN3265800E4562900;4562950;3265850;15;–;3;3;3;–
CRS3035RES100mN3265800E4563000;4563050;3265850;29;3;–;6;10;9
CRS3035RES100mN3265800E4563100;4563150;3265850;18;9;4;4;3;–
CRS3035RES100mN3265800E4563200;4563250;3265850;90;11;8;24;22;24
CRS3035RES100mN3265800E4563300;4563350;3265850;107;16;13;30;22;25
CRS3035RES100mN3265800E4563400;4563450;3265850;110;26;5;34;20;24
CRS3035RES100mN3265800E4564100;4564150;3265850;29;4;3;5;5;8
CRS3035RES100mN3265800E4564300;4564350;3265850;13;3;–;3;3;4
CRS3035RES100mN3265800E4564400;4564450;3265850;163;11;4;38;44;66
CRS3035RES100mN3265800E4564500;4564550;3265850;169;7;7;25;44;82
CRS3035RES100mN3265800E4564600;4564650;3265850;17;3;–;–;6;6
CRS3035RES100mN3265800E4564900;4564950;3265850;13;3;3;4;–;5
CRS3035RES100mN3265800E4565000;4565050;3265850;4;–;–;–;–;–
CRS3035RES100mN3265800E4565100;4565150;3265850;12;3;3;–;3;–
CRS3035RES100mN3265800E4565200;4565250;3265850;92;17;18;22;14;22
CRS3035RES100mN3265800E4565300;4565350;3265850;77;25;4;23;13;12
CRS3035RES100mN3265800E4565400;4565450;3265850;90;27;6;37;9;6
